어업별,품종별,어법별,행정구역별,판매형태별,항목,단위,2006.01 월,2006.02 월,2006.03 월,2006.04 월,2006.05 월,2006.06 월,2006.07 월,2006.08 월,2006.09 월,2006.10 월,2006.11 월,2006.12 월,2007.01 월,2007.02 월,2007.03 월,2007.04 월,2007.05 월,2007.06 월,2007.07 월,2007.08 월,2007.09 월,2007.10 월,2007.11 월,2007.12 월,2008.01 월,2008.02 월,2008.03 월,2008.04 월,2008.05 월,2008.06 월,2008.07 월,2008.08 월,2008.09 월,2008.10 월,2008.11 월,2008.12 월,2009.01 월,2009.02 월,2009.03 월,2009.04 월,2009.05 월,2009.06 월,2009.07 월,2009.08 월,2009.09 월,2009.10 월,2009.11 월,2009.12 월,2010.01 월,2010.02 월,2010.03 월,2010.04 월,2010.05 월,2010.06 월,2010.07 월,2010.08 월,2010.09 월,2010.10 월,2010.11 월,2010.12 월,2011.01 월,2011.02 월,2011.03 월,2011.04 월,2011.05 월,2011.06 월,2011.07 월,2011.08 월,2011.09 월,2011.10 월,2011.11 월,2011.12 월,2012.01 월,2012.02 월,2012.03 월,2012.04 월,2012.05 월,2012.06 월,2012.07 월,2012.08 월,2012.09 월,2012.10 월,2012.11 월,2012.12 월,2013.01 월,2013.02 월,2013.03 월,2013.04 월,2013.05 월,2013.06 월,2013.07 월,2013.08 월,2013.09 월,2013.10 월,2013.11 월,2013.12 월,2014.01 월,2014.02 월,2014.03 월,2014.04 월,2014.05 월,2014.06 월,2014.07 월,2014.08 월,2014.09 월,2014.10 월,2014.11 월,2014.12 월,2015.01 월,2015.02 월,2015.03 월,2015.04 월,2015.05 월,2015.06 월,2015.07 월,2015.08 월,2015.09 월,2015.10 월,2015.11 월,2015.12 월,2016.01 월,2016.02 월,2016.03 월,2016.04 월,2016.05 월,2016.06 월,2016.07 월,2016.08 월,2016.09 월,2016.10 월,2016.11 월,2016.12 월,2017.01 월,2017.02 월,2017.03 월,2017.04 월,2017.05 월,2017.06 월,2017.07 월,2017.08 월,2017.09 월,2017.10 월,2017.11 월,2017.12 월,2018.01 월,2018.02 월,2018.03 월,2018.04 월,2018.05 월,2018.06 월,2018.07 월,2018.08 월,2018.09 월,2018.10 월,2018.11 월,2018.12 월,2019.01 월,2019.02 월,2019.03 월,2019.04 월,2019.05 월,2019.06 월,2019.07 월,2019.08 월,2019.09 월,2019.10 월,2019.11 월,2019.12 월,2020.01 월,2020.02 월,2020.03 월,2020.04 월,2020.05 월,2020.06 월,2020.07 월,2020.08 월,2020.09 월,2020.10 월,2020.11 월,2020.12 월,2021.01 월,2021.02 월,2021.03 월,2021.04 월,2021.05 월,2021.06 월,2021.07 월,2021.08 월,2021.09 월,2021.10 월,2021.11 월,2021.12 월,2022.01 월,2022.02 월,2022.03 월,2022.04 월,2022.05 월,2022.06 월,2022.07 월,2022.08 월,2022.09 월,2022.10 월,2022.11 월,2022.12 월,2023.01 월,2023.02 월,2023.03 월,2023.04 월,2023.05 월,2023.06 월,2023.07 월,2023.08 월,2023.09 월,2023.10 월,2023.11 월,2023.12 월,2024.01 월,2024.02 월,2024.03 월,2024.04 월,2024.05 월
계,어류,계,계,계,생산량:계,,70114,51636,52938,28899,39108,42407,52701,64530,69721,80226,74265,88503,73264,49183,50093,43479,41027,44900,51251,59979,60800,90115,101330,96549,74694,39787,63837,39015,41803,41853,69066,66572,84852,118119,121670,116708,73889,66425,60025,31528,46566,39655,40626,62453,100831,84433,90983,98088,82456,45590,33970,28651,36358,45662,63518,56279,72174,107097,92697,71746,62742,44330,57591,33775,39817,47032,48262,68473,93037,121649,113047,112848,92272.63461,53141.60828,52756.59983,29143.25343,42640.18104,32381.7264,46644.06793,36327.78914,57780.18213,84732.87655,80739.80346,95826.23239,76236.65828,38051.99787,40926.10224,29509.98492,30851.28457,31380.4352,53553.36458,53294.8305,75281.23546,76198.05448,78865.13763,110373.3206,64085.01956,33893.02732,44225.18188,31992.1296,33152.48996,32597.16678,51564.23113,57920.58161,76094.62384,80890.14898,88289.31022,95966.70062,78744.30363,43550.71071,66905.02498,41184.36117,29776.42732,44512.53548,44698.45302,64060.65975,70110.18124,82917.12039,70197.32675,73953.16251,74058.68022,27213.82793,33172.2713,31501.56844,33809.08287,35060.47827,40173.65068,54698.65931,55499.91425,67721.39912,79921.96012,75480.04629,64350.80103,30992.43295,39127.00491,25543.05923,32751.98352,39527.31103,58758.40872,66675.26697,88312.03926,55205.27511,69487.52142,94658.84066,79102.21099,30360.33757,41072.7638,26242.3556,28544.5917,35406.3489,61666.541,64042.1142,106692.3793,97955.5311,102731.0516,75840.2093,93199.66238,34958.3423,31285.61009,29884.75509,36372.25566,38233.31376,39639.23846,57755.80934,56032.24086,72551.70539,70872.2001,106597.4201,64347.4785,44015.58056,35305.4596,27503.81984,41887.5774,41438.9333,60621.2805,52507.3695,66704.0366,85494.7331,84666.8434,80158.3979,50774.82622,37857.95066,46348.8881,35911.52525,40293.26421,36919.6653,57590.4486,59898.4161,66643.1231,88108.2706,72851.1288,85723.8159,67479.11877,34686.36272,42252.46034,31549.21377,49332.00333,33752.914,39085.5474,59246.4372,59690.7258,74782.3036,95613.816,71625.6768,75365.04349,45183.5409,60777.7111,40629.2125,36202.2216,36478.589,58134.9273,62612.7916,77112.9306,91060.0874,87416.29,58769.3526,70126.4504,37567.6029,44377.5429,45573.4766,32595.2749
계,가오리류,계,계,계,생산량:계,,294,206,537,358,370,234,180,113,137,159,146,392,368,530,643,653,639,182,142,95,109,232,223,180,234,224,249,281,280,166,122,133,116,134,140,157,219,236,389,541,343,191,107,80,129,101,102,155,291,232,239,275,257,183,130,72,43,68,96,135,253,228,311,321,394,191,83,72,90,71,101,162,238.08416,188.71318,242.76541,217.60369,239.29562,107.83094,76.96854,45.89791,83.71102,91.75925,140.38255,133.64444,242.96869,183.67277,223.80648,241.08662,234.30481,122.932,69.84205,60.76368,85.13616,87.87533,112.21605,184.62798,204.04098,140.72166,201.40525,273.27491,212.72539,129.52787,107.25981,84.96323,101.85708,105.19716,140.48479,155.67399,193.89967,113.1171,190.96343,172.21606,142.75448,100.75757,55.89827,38.889,48.05433,67.88577,80.84532,102.24445,91.3402,98.66108,128.01894,122.36764,131.41524,71.33875,49.06441,47.3813,40.08409,58.65004,69.4359,73.57956,100.00206,73.48593,117.58241,112.00125,104.22275,55.96801,38.20916,37.06766,51.0826,51.09336,64.80255,51.41872,96.61635,85.34379,132.4002,175.1046,171.9103,89.6587,55.5626,49.8109,79.7447,65.0927,80.9735,61.6579,95.05973,64.51642,106.9866,157.03936,189.55827,82.2139,82.3242,44.1635,67.0646,59.9785,100.7534,84.3296,83.10896,69.12266,90.11869,133.2699,132.643,101.6759,92.2803,63.5266,52.7375,46.2952,90.7693,71.1556,62.26947,66.44962,109.94878,177.59277,137.3725,72.3523,70.1439,45.8375,31.5813,55.5566,71.0503,74.0773,99.9948,76.41198,105.09203,164.60621,228.87115,100.4211,71.5341,85.4795,46.1348,52.8819,72.953,72.488,79.72657,97.7592,169.1999,220.8184,198.3152,109.0274,112.0408,77.8196,78.2867,70.9347,91.3934,99.9737,155.9283,107.2263,166.6237,236.9632,221.9942
계,가자미류,계,계,계,생산량:계,,1672,1301,2452,2008,2355,2065,1157,1297,1249,1294,1257,1772,2195,2013,3135,3010,3197,2559,1481,1439,1043,1423,1259,1586,1848,1439,2510,2398,2707,2095,1444,923,1171,1200,1061,1366,1661,1786,2461,2371,2271,1713,1165,1196,1523,1057,1095,1388,1925,1818,1799,2489,1792,1786,1585,1116,1228,1377,1677,1515,2054,1477,2345,2320,2228,1623,1258,1286,1071,1482,1404,1469,2123.35859,2083.79658,2338.36275,2008.14292,2157.66812,1643.90461,1192.56506,836.45398,1359.42187,1463.50142,1326.69715,1333.77525,2151.67426,1571.3185,2279.96553,1955.08193,1581.29662,1668.17719,1135.84448,885.1693,1009.50688,1114.41529,1263.48263,1555.46185,1851.7812,1446.57584,2305.67264,1866.80969,1567.16902,1660.02955,1221.79959,1187.03699,1433.16661,1341.06922,1338.56139,1685.52351,1488.57053,1589.03777,1978.85752,1740.58447,1468.68319,1060.48255,810.39441,825.28344,912.3625,879.14975,839.33683,1332.36855,1254.80506,1323.12744,1787.43154,1378.49522,1187.58916,939.6941,766.84403,631.43546,490.40009,748.27937,796.04913,718.81116,1074.98833,1307.0682,1798.32992,1318.62436,1010.65428,846.37001,591.77838,573.87095,648.63174,459.29284,684.00206,898.38412,1172.61461,1289.27729,1812.452,1551.248,1278.4647,892.6543,680.5459,545.2719,662.8532,663.8665,875.958,866.5354,1791.52735,1618.62774,2229.93305,1647.83976,1169.20957,958.89401,741.6693,718.0979,652.7324,779.2006,1058.533,1305.9586,1436.44139,1855.84646,1989.88683,1933.38365,1740.6019,1701.0762,676.1604,813.9147,471.5397,881.693,1302.6655,1557.1506,2111.40505,2174.7936,3228.63764,2495.62825,1552.98018,1138.6563,779.9614,584.0589,565.2882,886.8517,1003.4235,1161.3793,1576.36285,1478.00192,2205.10016,2052.15795,1682.61734,799.1999,782.4071,686.1813,493.6364,920.5108,1083.5828,978.7681,1659.457,2365.0233,3283.5662,2164.2079,2127.7503,1205.5857,731.7703,666.7279,768.7869,930.4637,881.0254,1113.0757,1350.6381,1940.3566,3214.2563,2792.5462,1684.3065
계,기름가자미,계,계,계,생산량:계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.29144,224.2318,258.04045,237.48559,99.83446,291.53275,205.45583,235.15031,293.69441,265.71197,226.63344,287.94522,352.55707,219.29174,368.30604,319.2025,138.12894,374.44798,258.08204,155.83585,227.04713,219.14337,216.9361,172.34145,165.79593,293.68013,338.90633,294.50444,167.76439,341.82051,238.50339,228.14332,234.15403,163.75592,213.01201,189.9695,208.22806,266.6896,305.9359,387.3795,153.2606,274.6391,233.8121,244.5835,236.4388,255.5102,272.1132,170.4992,217.29826,219.30515,321.91082,335.88539,151.16218,307.8986,326.7018,306.9804,279.2668,385.4336,326.2863,320.5689,261.93897,286.22165,327.04532,441.8747,178.3083,612.3886,782.3346,329.0338,626.4988,751.6694,682.8527,280.392,306.83606,330.23306,532.20859,520.15851,146.523,610.848,643.3618,552.4353,428.3021,349.1435,304.9264,285.397,429.58849,345.31735,549.22189,563.85111,250.43958,419.4064,448.0685,390.8368,429.2418,527.2587,498.5907,329.0177,363.75674,429.0995,588.8315,511.5984,220.2761,519.2286,369.1426,260.0153,351.005,385.6446,398.0827,409.8663,450.4454,333.8611,578.1303,628.4017,216.8368
계,갈치,계,계,계,생산량:계,,2920,1797,1736,1407,1783,2411,2678,9990,10901,12058,9294,6764,4405,1626,618,1742,2089,3186,4601,12195,11566,8246,10087,5668,4075,1700,2726,3373,4006,4229,7750,6742,8662,14391,8662,5997,3367,2150,2813,2808,3858,3421,3808,11316,14386,9257,13538,14728,9929,6360,2770,1736,1361,1514,5332,8496,5983,5824,5574,4363,2895,929,2645,1443,783,1850,2302,4547,5173,4442,3830,2262,1878.942,1204.852,2112.953,660.28295,944.55192,1714.75905,2686.61481,3493.73612,6466.07859,4501.16968,4444.7344,2416.8738,1774.7124,1081.829,990.84294,987.0638,808.6017,1077.22867,3736.51569,6702.01262,9109.86495,7500.6864,7069.29142,6260.69046,4926.379,2084.26,4017.40017,3962.564,2080.42156,1728.20982,3495.49912,3415.46248,6183.39712,4783.20319,6422.90998,3830.20687,2175.67427,1946.7709,1751.604,1845.288,205.37407,498.24855,2251.99391,8810.13059,7065.1857,5047.05046,5389.58686,4062.01702,3567.90328,2870.09263,2571.59718,694.261,652.4052,1689.63159,1986.27001,3222.74614,4007.69145,3713.66239,3797.43056,3557.73022,2015.72794,913.64267,1929.79902,2576.51316,2096.91486,5619.52869,5983.52506,9503.70455,8360.72907,3777.39333,7266.87756,4437.05811,2918.66527,1722.98027,3169.8006,2284.6868,1430.5951,5104.0792,4761.4621,4331.2471,6644.2251,5868.2124,6084.539,5129.5426,3108.32443,493.23202,1558.91111,1177.53743,807.19245,3057.39249,3763.7975,4600.3508,4189.3051,5850.8132,8691.815,6180.1027,3726.4861,3572.46884,2942.06639,2098.2595,2343.0732,5135.5482,4719.0055,6258.1353,6410.7541,6609.8844,11200.771,10702.9986,3430.76073,3642.25847,3319.12891,2160.1632,1994.4753,5341.3519,5351.7036,6105.3302,6673.9615,7987.5078,9986.4339,7063.3501,5900.0832,2055.59429,3097.72017,2558.06345,1625.52155,4046.9472,4473.3096,7551.9856,4803.4078,5865.1423,8168.2175,3878.1364,5147.38145,4522.3505,3754.0211,2234.6433,1821.9479,4779.7231,4228.3614,6799.2452,8023.9147,5906.1404,7545.1985,5832.3463,4100.4455,2066.137,1020.491,2045.483,914.7535
계,강달이류,계,계,계,생산량:계,,2826,2992,2243,1277,1057,2282,946,191,956,1721,1447,1437,2360,1248,868,299,637,1662,351,126,334,1976,2213,1743,919,239,1664,852,1224,2549,339,107,149,694,1308,1002,1227,899,1064,1375,782,2503,770,262,1043,604,984,561,566,304,228,106,549,691,570,134,434,306,394,721,964,844,666,84,1055,4241,150,399,1804,927,1709,1147,1926.209,907.03,226.106,127.062,496.77661,1083.32904,171.37567,84.90916,521.01054,802.4914,546.768,867.112,660.59,412.465,112.82531,127.8237,500.4428,1852.4259,427.8149,184.1146,666.4759,756.48028,521.75836,931.03,717.8365,431.02,274.2,182.08254,783.8917,1647.58117,227.90442,80.14441,1004.33947,508.32967,570.6891,794.251,511.7028,796.027,445.27946,202.68366,852.42171,2157.21764,279.93813,112.0435,214.91653,351.85844,499.085,70.11,162.643,66.683,227.62264,83.17729,346.74213,684.14031,182.141,12.32013,176.29424,29.07722,55.509,152.229,1.41,,74.41548,143.45286,361.79134,729.30472,271.56936,73.32518,212.67521,210.91649,104.22582,16.908,11.058,,1.444,40.0437,537.604,1773.2821,162.7186,7.4629,39.1078,35.5244,28.451,10.228,8.374,,1.67222,19.19583,294.61516,804.62632,390.2233,2.0426,92.6106,68.8258,49.224,22.712,0.118,0.018,0.45,9.262,657.2646,1381.1245,294.8946,2.7502,29.1192,41.4974,49.742,39.6987,7.163,2.391,0.755,26.82088,889.0288,1618.5671,59.419,19.2857,1.206,4.7445,2.6278,1.4964,,,1.327,12.02297,1063.98123,2149.9328,117.069,2.28,1.304,17.514,103.6225,76.848,0.412,,3.448,24.5572,1040.24,1012.0242,279.295,21.6,49.99,51.398,46.9684,0.39,0.313,0.324,0.587,44.9043,756.8364
계,고등어,계,계,계,생산량:계,,12207,2309,3700,1688,2462,2146,1061,4949,14995,15408,19419,21083,8991,3885,7108,8182,712,4158,4272,7826,13093,21005,43810,20734,8275,1450,3046,1451,845,4091,6600,10428,22741,40191,53330,34792,13217,16116,8491,1789,7812,7151,4236,14900,19405,8007,9829,7007,5403,2957,1431,498,596,1733,2751,4550,15218,38433,13654,7107,7144,6182,5348,3538,1046,1982,2721,9984,21272,42917,13342,23253,25099.24824,5117.2312,3701.8015,954.0171,2272.3062,3019.41471,8135.56121,9079.76154,10939.06772,15979.68914,14199.53017,26645.5525,18170.1371,1671.14799,2075.8854,1042.22705,459.6313,2149.06101,4975.6618,10681.52673,16514.98947,7786.03277,14077.93454,22509.93901,6479.37951,3782.94284,3056.71808,1649.26651,707.2882,1121.31707,4974.76227,16919.66468,14829.73517,12313.19854,29140.16365,32475.12995,15605.49561,7197.14223,14572.01502,10415.75418,348.15229,3802.84121,6842.17035,17472.29349,12324.83977,13683.82857,15340.57627,14129.58783,15198.06363,2243.55014,3449.71239,5549.97638,2246.66043,2046.09677,5633.39713,13531.16436,19167.51956,19837.38405,28583.38597,15712.74641,9186.82124,2476.78455,1716.25673,217.53175,824.56828,2160.89335,7918.85337,14617.20883,11944.25683,6076.14888,11424.64834,35306.19849,15093.35131,2935.85598,11525.1913,3370.9403,278.0261,865.5521,11297.3958,17162.4046,29183.0013,17432.2356,21053.8443,11332.4163,16326.46717,1860.09912,1794.99626,1028.26441,574.3688,695.61305,2084.2874,7552.317,8130.0089,9167.2358,12330.5967,39576.8145,5801.32207,10045.95621,3726.15683,553.771,519.0113,1419.166,7320.1655,5400.1523,7513.1285,9132.3049,14164.8189,12006.7744,11481.50961,7208.99467,5861.46021,2786.08583,328.56029,1083.5844,3681.448,7868.1516,16626.2434,15006.4832,18914.8897,31322.1098,15357.47692,2914.33484,4288.46295,493.70271,977.96355,1543.0971,6870.2759,9078.5704,8891.9154,8610.9433,29771.4142,22098.1748,23123.91414,2236.0288,10321.3542,7785.1847,1836.3609,4294.2072,12012.1745,8203.2987,13330.8997,12649.223,15703.4225,8593.3155,8486.0864,9060.654,3604.6101,8592.5808,1523.122
계,망치고등어,계,계,계,생산량:계,,,,,,,,,,,,,,,,,,,,,,,,,,479,20,90,26,171,57,318,2,2,22,52,1977,1496,44,15,3,19,936,1204,4098,9589,11784,12412,15769,1068,280,47,3,,8,166,161,666,2001,551,252,117,5,8,2,0,,3,50,930,1030,8579,1123,1758.108,64.417,1.188,,0.007,,,25.08,132.768,654.215,610.2,77.664,1539.83,8.748,9.358,12.978,0.262,2.178,219.168,681.502,3396.715,3657.302,1434.142,1693.734,132.642,171.228,32.562,70.806,14.904,71.076,705.378,18.33,35.376,185.079,600.826,432.96,914.565,318.972,138.624,7.56,,1.998,57.947,43.962,1488.478,1162.541,581.478,4173.288,1227.139,167.139,292.335,49.099,4.178,134.036,328.86,391.319,1868.834,4631.95,4761.273,8387.632,1635.508,632.581,36.154,0.978,9.453,4.692,71.777,321.174,3006.908,2036.992,2145.006,1488.598,3098.21,1494.03,419.865,129.571,2.1,1.5381,3929.8969,5675.852,15204.112,13202.542,23047.09,8198.2556,13833.626,1788.861,1349.318,603.815,,2.286,434.446,605.511,254.188,576.644,239.204,564.588,180.331,121.005,64.512,19.92,1.26,0.252,174.728,541.752,657.367,2124.818,445.11,904.983,551.896,88.452,6.292,90.444,0.622,0.398,460.072,1282.97,3156.335,11236.363,3536.392,8448.582,4731.123,812.426,302.727,7.128,8.065,16.206,276.312,2659.874,6044.01,8173.44,11720.1609,6926.84,4226.326,298.938,1460.769,7.566,11.32,8.774,2200.273,8162.249,6196.058,5825.718,12972.959,1514.24,1384.4974,2457.324,222.835,358.078,1.764
계,꽁치,계,계,계,생산량:계,,56,9,13,25,239,148,42,0,14,24,52,75,26,20,54,314,1402,2174,144,18,10,236,197,145,41,57,5,516,1900,1679,182,1,12,402,56,58,12,33,5,275,1576,1356,189,6,3,7,41,47,139,52,1,53,568,1360,36,6,9,38,166,136,76,6,0,105,560,1555,223,1,10,47,22,86,26.004,183.976,131.5614,230.554,870.63927,933.6168,16.589,0.212,4.14,5.316,19.446,9.438,20.063,37.023,157.164,665.18428,1149.8,854.26296,144.541,1.72388,68.0864,13.19792,119.80836,68.908,23.35,16.215,39.159,86.81994,65.275,16.1448,0.606,0.65517,35.93928,5.34246,8.808,22.11188,15.47409,102.0145,1.999,38.38528,216.95038,155.657,6.488,0.231,1.208,11.693,10.339,12.856,99.541,1.867,32.22,137.469,462.558,98.5997,2.427,0.086,1.663,6.206,20.854,5.767,9.83345,41.408,27.557,78.022,306.672,225.902,5.378,0.204,2.593,9.814,21.209,27.971,106.08369,0.6678,23.257,159.7087,263.1757,137.515,11.638,0.058,0.0501,0.44,0.6052,4.8627,8.736,5.869,3.933,99.416,103.20145,32.151,1.582,0.017,0.076,6.5472,0.667,10.2998,7.314,6.01143,10.694,125.03,339.367,118.602,0.068,0.041,0.013,0.459,12.64,23.974,3.48,5.793,30.192,322.51518,456.9409,149.0134,3.178,,,0.4604,2.865,11.809,9.665,28.234,116.42,39.36,48.034,27.369,0.2,,0.03,,1.91,12.177,3.43133,99.405,116.52,13.622,2.458,0.043,0.03,,0.045,7.2058,5.6611,7.1686,36.735,42.2774,20.373,30.881,87.369
계,학공치,계,계,계,생산량:계,,55,34,32,24,46,1,0,0,19,79,47,32,21,18,28,19,27,7,1,3,6,12,38,113,51,64,132,104,21,0,1,1,23,11,10,44,54,62,68,50,11,0,0,2,8,18,17,228,,,,,,,,,,,,,5,96,170,23,54,0,0,0,1,12,23,12,60.426,34.404,0.12,19.079,1.078,0.012,0.007,0.0256,2.9194,21.171,106.1186,135.609,170.8066,10.63683,4.03885,30.21421,9.80223,0.66176,0.20788,0.55931,8.22723,94.79138,175.80229,165.9667,252.44322,25.35635,0.74748,16.56881,30.71468,0.90291,0.44716,0.3954,0.82178,141.70409,167.47405,277.32159,239.11278,6.00418,30.97788,36.78421,74.79169,0.73087,0.20915,0.65887,1.56679,180.14447,323.51459,277.41379,134.06642,66.12284,24.90096,74.99226,31.70784,0.20673,0.202,2.023,47.86238,65.3698,51.53033,99.37942,266.34282,69.68353,156.88794,30.1851,4.82924,5.863,0.16506,1.846,79.0638,65.36211,73.31618,243.03631,163.09855,106.81767,9.186,9.4557,4.1208,0.105,5.7181,5.8112,100.1208,96.2292,35.3943,73.4594,160.42822,77.09465,56.14424,58.85266,7.73831,0.4545,0.1449,19.6887,80.0142,63.3983,36.9746,89.2262,160.183,44.94635,28.00318,53.7974,45.5539,0.609,0.304,0.0708,51.1478,157.3281,76.2271,141.0614,183.58369,122.98831,89.23122,39.40395,6.6532,4.8409,0.006,0.009,12.7654,27.722,6.306,51.6222,91.90323,16.14048,13.39949,13.13087,4.62674,0.8673,0.3225,2.2412,17.2459,33.6395,33.849,154.1806,472.68295,333.2704,174.158,115.9551,10.1831,0.3247,0.0628,114.1436,3.2535,13.6128,12.491,39.1968,53.1808,81.7895,10.3203,14.9431,8.369
