"어업별","품종별","어법별","행정구역별","판매형태별","항목","단위","2006.01 월","2006.02 월","2006.03 월","2006.04 월","2006.05 월","2006.06 월","2006.07 월","2006.08 월","2006.09 월","2006.10 월","2006.11 월","2006.12 월","2007.01 월","2007.02 월","2007.03 월","2007.04 월","2007.05 월","2007.06 월","2007.07 월","2007.08 월","2007.09 월","2007.10 월","2007.11 월","2007.12 월","2008.01 월","2008.02 월","2008.03 월","2008.04 월","2008.05 월","2008.06 월","2008.07 월","2008.08 월","2008.09 월","2008.10 월","2008.11 월","2008.12 월","2009.01 월","2009.02 월","2009.03 월","2009.04 월","2009.05 월","2009.06 월","2009.07 월","2009.08 월","2009.09 월","2009.10 월","2009.11 월","2009.12 월","2010.01 월","2010.02 월","2010.03 월","2010.04 월","2010.05 월","2010.06 월","2010.07 월","2010.08 월","2010.09 월","2010.10 월","2010.11 월","2010.12 월","2011.01 월","2011.02 월","2011.03 월","2011.04 월","2011.05 월","2011.06 월","2011.07 월","2011.08 월","2011.09 월","2011.10 월","2011.11 월","2011.12 월","2012.01 월","2012.02 월","2012.03 월","2012.04 월","2012.05 월","2012.06 월","2012.07 월","2012.08 월","2012.09 월","2012.10 월","2012.11 월","2012.12 월","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월","2023.12 월","2024.01 월","2024.02 월","2024.03 월","2024.04 월","2024.05 월",
"계","계","계","계","계","생산량:계","","288192","340661","427029","253554","220805","208490","159454","173777","186076","223210","243836","307032","320624","335740","416077","277779","250866","208747","182706","180894","184921","268065","289325","359079","337225","317673","422225","285804","251178","220696","207891","188070","206242","289870","300687","333694","307475","366320","349578","235263","228523","213331","170526","181941","246349","277945","266685","338406","301833","300470","371969","227613","198165","230232","198063","171449","212625","297417","276161","324637","323845","314335","444021","272941","204047","212496","162255","167258","193584","294299","307644","359204","362730.72559","368524.08921","409245.0511","262349.81219","226141.32271","222375.37919","158138.41074","125986.31181","162741.25107","265562.12791","269628.12935","350000.99867","331575.4863","314480.41874","387034.62058","261953.74465","246226.38025","242655.67002","145149.31705","168072.80015","188484.80158","213482.66125","266016.98576","370116.9318","339973.40661","299288.89269","426695.12298","297469.4955","262418.35981","190612.72487","203019.09224","186569.55814","213086.31688","232228.53901","292256.65273","360609.39357","369843.49259","341746.29541","448369.99036","350382.7599","252955.49098","253472.15266","138793.65854","182500.35366","220496.32835","216807.52708","239576.91065","322437.5559","343795.73674","348988.36629","519766.94527","303756.14929","275030.1314","192958.262","190463.58607","170309.9731","196194.9592","186201.094","232465.56181","309501.50431","337437.70862","354819.18574","630496.2742","408940.82619","282980.78069","237121.2878","216853.50929","207944.7863","216616.39384","203185.19142","266844.62293","361470.71762","387204.65351","356499.83679","537768.86602","351774.69944","339334.68871","325271.96087","206164.61174","164762.2591","225374.14562","240870.65129","280020.49406","355009.97705","445768.02025","401544.27453","605115.13892","365695.17474","342307.8184","340935.58684","175188.70419","187685.24","172267.32746","198640.89294","249924.04394","375896.53845","365090.32911","377853.85947","526823.88784","402551.64282","308881.59844","281871.40069","244645.31325","188716.65701","176903.49463","206277.18874","269913.34342","363344.55898","389067.21303","408623.24073","613938.75103","420472.66007","334817.59652","290707.23797","218317.63538","191956.65346","174103.56071","200295.24151","248925.27436","340946.32682","410950.69212","380608.21013","601464.98361","364068.14962","311521.52465","259792.34194","190820.01325","175394.25638","150972.89832","178560.16763","281894.36885","304413.75888","404932.07153","406092.50685","586728.73697","363889.44574","301342.32279","283908.3842","205663.95653","171666.67393","184484.59385","196355.18481","257906.31453","315446.98321","418464.89097","411595.21511","572652.18551","394891.49578","312842.33377",
"계","계","계","계","계","생산량:활어","","","","","","","","","","","","","","","","","","","","","","","","","","181246","224471","291430","171559","121554","112308","87114","73251","61325","63400","100822","148871","169620","253346","227812","150218","130455","114036","75129","69129","71425","65626","96075","145829","151597","214254","293344","151322","111348","120375","73558","59162","69237","67622","115938","175575","194412","228456","320953","192872","124871","112864","78959","57892","47062","74569","118842","159753","187952.1988","261737.27476","306950.94865","180024.00518","133595.91535","135952.64847","69322.67521","42998.84646","40266.62159","56673.34161","117221.19227","171935.23937","195880.59669","242751.76968","293628.90398","165997.09122","144140.82979","155816.02861","47808.98527","73412.55291","60028.49259","51195.69307","107886.34432","163808.23035","198733.31843","217101.858","313356.36871","184230.05227","148414.18931","89642.24916","95416.29087","72047.89706","65331.13144","59192.19427","133162.35948","170208.63092","226895.39397","244309.51949","308263.04051","222759.11789","153775.80206","160260.87268","59021.08974","66873.67304","87561.68729","65575.97478","102924.47351","164054.97192","219938.9347","292879.05877","446008.70687","235357.36195","195653.418","111208.49597","97898.66394","64454.26753","77653.42638","54480.31538","94034.48992","168404.12118","230234.24924","290433.05366","542603.79816","341908.85844","213081.93271","144704.55154","117518.65065","86554.03364","85895.10419","84673.1209","148417.99482","221343.64448","265890.32409","295125.58811","449620.63238","280217.24596","259719.03367","241546.07699","102346.16941","67380.03186","74239.0727","82763.47294","134356.91648","240872.02656","312452.62883","322984.38648","522971.3708","292154.41475","256977.26743","252508.08643","74919.48627","87305.85091","68428.86653","75189.09134","139529.43302","236953.92002","267668.17729","298346.79944","440921.35772","338533.30473","218608.51676","194987.90735","142630.04356","95519.35583","73949.7289","72883.55346","141000.4335","242376.13315","294944.63546","329445.12809","506670.61197","330627.63145","250982.61751","211062.6218","121919.03678","90113.18089","65400.25092","63214.71845","141875.84631","222397.14242","308082.55201","315328.58539","509596.59107","287927.97945","213687.89693","180818.94069","118839.21304","83722.8744","53436.02724","66925.41045","150696.41281","201970.51356","298214.82339","331353.37854","491470.59331","292247.76697","224796.58839","205050.58402","110487.81444","71271.67588","60128.44222","60582.20444","134553.13368","220428.46207","298331.99379","331698.55591","469942.13694","306940.32436","240904.87027",
"계","계","계","계","계","생산량:선어","","","","","","","","","","","","","","","","","","","","","","","","","","88640","39210","62840","36648","37488","42094","70494","62845","90975","169175","147565","138008","85046","67747","59401","31514","46741","45162","42528","61883","119534","139760","115332","129475","92843","46781","33793","28358","35250","49657","69362","56049","83198","161617","110330","101295","83863","44167","56644","30142","39092","50522","48188","67807","100488","164690","136899","149904","119291.37103","58578.89637","52766.35434","26158.28489","41225.25918","34584.85518","47636.67216","35521.22085","66164.2562","138241.96497","98225.44551","128373.78881","90097.46946","38491.06106","43167.9907","31958.99415","35141.07778","36319.71001","54917.73879","55394.82432","83927.50343","112285.82552","104701.5792","142646.0409","89324.58559","33653.68444","45919.956","33947.92379","36436.04545","38267.07969","51557.45912","58858.94433","87292.4657","115441.86279","107592.66175","134295.26615","92640.91554","43424.36923","65270.25845","41710.37283","29265.37154","50447.13316","47784.41827","68715.61864","80223.89533","99854.3867","91344.61588","117165.80819","88590.10092","30656.79077","35634.57906","33213.86553","34827.60827","37829.53748","42413.71435","62752.14764","68636.79908","81842.50393","97106.98976","102766.01098","71443.57338","33610.51008","41265.82958","23876.52881","35535.88174","45603.44958","64147.39496","71876.73279","93140.19095","58538.65386","77019.00144","101010.78127","79094.43142","29635.93224","40411.17977","26496.62304","30439.65904","35051.56888","61195.20397","63294.24518","110354.73406","103889.05449","103468.36818","76183.11849","97308.40412","35008.14805","30324.11367","28569.55356","35390.80302","38938.41944","44432.89836","58748.42898","59054.11402","73602.6362","67115.12584","101480.43455","65681.68082","46009.75103","37117.05687","26792.62129","40861.41391","45117.77272","59808.89515","51501.62818","72826.44493","93966.69793","87045.89292","80651.10483","54805.20232","36963.76664","45288.08093","35379.16862","40038.71438","40256.73254","59453.40889","60454.74806","71566.94658","99013.64676","75376.9488","86995.53127","65616.71561","34341.38724","42649.52175","34654.52217","53696.30716","40034.51571","40587.48645","57339.22646","58281.9395","73348.46107","96893.12736","68397.26382","71433.07314","42677.30331","59601.9993","39596.6793","39135.18722","40615.03692","58266.88093","61863.90281","71848.80324","85923.57798","81056.71847","55498.76554","66686.84518","36486.2744","44687.68857","46044.26506","35038.87987",
"계","계","계","계","계","생산량:냉동","","","","","","","","","","","","","","","","","","","","","","","","","","67339","53992","67955","77597","92136","66294","50283","51974","53942","57295","52300","46815","52809","45227","62365","53531","51327","54133","52869","50929","55390","72559","55278","63102","57393","39435","44832","47933","51567","60200","55143","56238","60190","68178","49893","47767","45570","41712","66424","49927","40084","49110","35108","41559","46034","55040","51903","49547","55487.15576","48207.91808","49527.74811","56167.52212","51320.14818","51837.87554","41179.06337","47466.2445","56310.37328","70646.82133","54181.49157","49691.97049","45597.42015","33237.588","50237.7259","63997.65928","66944.47268","50519.9314","42422.59299","39265.42292","44528.80556","50001.14266","53429.06224","63662.66055","51915.50259","48533.35025","67418.79827","79291.51944","77568.12505","62703.39602","56045.34225","55662.71675","60462.71974","57594.48195","51501.6315","56105.4965","50307.18308","54012.40669","74836.6914","85913.26918","69914.31738","42764.14682","31988.15053","46911.06198","52710.74573","51377.1656","45307.82126","41216.77579","35266.70112","25452.51675","38123.65934","35184.92181","44549.10513","43920.22855","50151.20778","43103.55793","49904.73374","49878.27469","41324.08213","38331.37215","35759.886","30775.622","46626.64646","43155.43894","34362.96624","46813.28668","35187.46368","49514.01987","37581.0987","59973.41666","41407.62667","39116.29187","42219.898","31738.31644","47737.05387","45060.83044","49175.996","48674.315","42623.23836","34087.98206","40780.33886","54218.12386","42195.2094","37954.832","36006.9873","43551.74","51819.65445","44971.20643","49939.74795","49489.08097","55836.31956","41630.96011","44784.34691","49849.1654","43279.48508","37462.18388","31740.471","33497.309","48785.47325","37225.7168","49411.66777","41765.72062","42206.37454","41695.673","30127.3208","39426.93735","41867.017","40317.321","39317.37525","42214.346","61980.05813","54465.86","43796.26463","39387.88363","36945.18971","41388.72451","37136.36321","38066.8763","31672.47925","31553.65313","37251.4245","30938.2375","49218.87079","41485.648","44137.32056","38938.88554","31393.31376","34332.15552","39254.93158","38286.29611","34304.82868","34045.9815","35284.175","32061.825","35656.14436","32044.99947","37410.54718","38242.76326","36909.26116","38531.09524","52507.34839","49849.40239","42296.46238","39519.7556","53446.052","43410.3848","58022.36","41906.90636","36898.58363",
"계","연근해어업","계","계","계","생산량:계","","108311","69266","69296","45604","59714","67750","71625","95152","117636","144538","120009","139914","114612","71578","69944","65705","59777","66570","71332","80521","87265","163949","147887","153159","116661","58855","82575","59614","64850","64897","89047","83041","120447","201145","174648","169110","109856","85279","79636","52100","69449","66640","56902","84913","154098","168791","142208","157094","113626","64212","48503","48854","61696","69750","83781","73818","116399","193084","134966","123847","106393","61758","73391","50876","63236","68462","61850","85278","128493","195334","163512","176906","141947.70704","74017.1503","67463.75643","45278.59553","64837.75131","52572.48031","60082.26551","45855.4227","94910.63686","170126.88574","124628.68117","149312.70591","106290.37473","51022.13332","54716.85432","48183.64432","55241.95672","52687.89978","66458.79238","69129.17951","108482.78198","137240.50331","128741.11427","166501.97907","110147.95271","46532.97288","58752.58139","52159.84845","54764.59678","53447.03715","64651.71165","78196.97419","111767.25066","138943.36324","131567.4281","157666.72417","113942.62998","60410.9715","82766.51232","59273.84665","47797.38214","65964.02798","59487.18672","83825.43149","107514.59918","121279.98006","115015.55725","141040.75945","107097.63064","44026.73501","47941.31818","47794.4579","52547.35416","55201.70647","53977.97811","76914.30982","81608.41719","101877.37052","116660.42267","121932.25654","91032.73256","43808.13755","53849.09669","41644.9579","52525.76647","60422.30822","76087.57364","93325.01883","117554.57404","79594.59436","97115.41952","119980.37746","101177.1712","47559.34516","54259.0943","46068.1666","51358.4315","54401.5862","80813.7261","79770.0312","136856.3015","129806.5566","127993.9385","101471.8041","123543.38193","52321.7537","48150.46391","46807.21338","55180.93874","57827.85389","65115.48936","79571.65944","77127.22166","91303.03089","87133.4687","127769.7328","86546.43553","59048.03377","53955.90926","46319.21904","61206.8018","63067.5082","78435.8633","68045.6822","93002.9139","111077.4795","107098.5895","106075.4675","72642.45998","53257.09587","64571.75555","57281.58577","60003.29593","58608.613","75282.2385","76292.7057","98737.7984","121605.1818","96959.0799","107633.3566","86988.34234","46043.3253","58536.45435","54108.5592","72592.11135","54636.1923","53911.7184","79075.698","80515.006","95149.4984","118281.3133","88856.1762","89629.72764","58665.4329","79174.0322","60823.4529","61204.5104","58249.3097","73978.8576","80699.2634","103168.3367","111514.2493","104496.7304","74351.2231","85267.8487","49974.3035","59595.3121","67376.5884","57822.5363",
"계","연근해어업","계","계","계","생산량:활어","","","","","","","","","","","","","","","","","","","","","","","","","","18774","15196","16307","18704","21115","18670","16020","18041","22591","21896","19935","21571","20663","14986","17981","19112","21403","20280","13180","18368","25223","19972","17912","18022","16023","14915","12940","19548","25466","19532","13590","14993","22133","21706","19923","18172","16688","12619","14257","19135","23140","16593","12570","14629","19164","19667","17332","17783","15518.48155","10467.20567","13023.54296","17743.61809","22549.81145","17645.61759","11660.23052","8563.79967","21654.34865","18787.13112","18199.19833","13445.60057","10344.98972","9278.31229","10118.06155","15563.96088","19184.74295","15480.11622","10415.57857","10307.06771","16325.09147","16471.8735","15583.5276","14413.99669","13479.14114","8369.28203","11037.43529","16506.74389","17252.97543","14098.79072","11046.35599","17508.36151","15901.48061","14773.85007","17319.47165","15150.78538","14395.80214","11835.68871","11505.24968","15835.61059","16923.74534","14929.85888","10535.85992","10289.23833","13735.05022","13439.55822","13539.19751","16809.13949","12960.712","10636.01685","11479.01382","14040.61835","17031.91973","17002.50636","11016.17294","11228.97233","9893.82322","12136.38001","12081.22945","12919.3159","14879.49603","8356.27082","11952.25061","17280.99715","16816.22956","14369.2045","9249.46282","11159.91492","13532.98301","12517.14752","13723.44548","13826.31988","17748.38379","16448.44928","13272.5377","19196.0944","20365.8943","17630.2343","14133.0065","11888.2793","20240.6703","18126.5315","20569.392","21876.6788","22394.04256","13971.51409","16507.52529","17602.9664","19387.46745","17659.48812","13306.1984","13709.793","14127.1404","14567.5901","15132.9561","20889.4253","17920.06018","10959.42626","14218.32923","18664.84504","19799.4608","16214.9954","13403.7969","11753.9736","15728.4133","14386.8683","15764.9859","19621.6024","15658.93789","13676.35676","17523.52447","21344.18929","19474.34355","17083.3555","11667.8798","10391.7098","13542.0908","14379.1962","16614.6275","17199.8899","17798.0757","9798.73114","13170.66212","19159.9533","18540.957","13667.3784","10995.9481","11478.7225","11019.4904","12728.2807","16632.1113","16729.3468","13872.43124","13195.4747","17874.5038","20600.4546","21484.948","14985.1243","11599.1366","11210.4608","17843.9092","16347.4744","16523.2173","14160.9703","13481.655","10763.6","13470.7063","20455.7164","22314.3464",
"계","연근해어업","계","계","계","생산량:선어","","","","","","","","","","","","","","","","","","","","","","","","","","88640","39044","62752","36403","37432","41803","70467","62816","90791","168978","147398","137945","85029","67670","59246","31425","46557","45065","42360","61782","119415","139592","115140","129378","92838","46635","33654","28309","35160","49556","69291","55969","83105","161391","110183","101248","83834","44099","56501","30050","38964","50410","48121","67736","100296","164389","136752","149837","119252.04249","58451.47563","52600.71347","26077.70244","41129.88086","34492.70572","47538.80799","35453.16003","65991.43621","137988.66862","98116.51884","128310.89134","90088.43576","38471.23303","43051.97953","31893.75372","35095.43362","36292.29956","54852.66881","55276.9048","83501.90114","111837.21981","104576.25367","142621.67038","89242.13307","33602.06185","45768.60537","33814.33456","36374.52435","38211.03543","51486.74066","58714.92223","86889.92505","114966.30617","107368.17245","134244.07579","92592.01924","43344.07565","65134.54764","41653.24926","29205.76558","50385.8387","47711.6418","68576.55996","79667.65046","99083.06264","91172.34714","117070.67196","88550.60164","30635.92016","35516.38218","33157.92591","34784.83993","37736.90961","42367.40451","62578.21449","68059.75897","81245.49951","96978.98937","102720.45164","71421.00053","33501.43973","40916.19808","23770.89925","35473.51107","45521.5806","64062.78802","71721.82602","92755.20925","58052.1564","76909.5279","100970.99658","79081.69541","29604.49488","40307.2746","26377.9642","30361.5542","34927.1409","61083.1096","63088.6829","109757.0152","103279.4711","103348.6865","76103.6503","97300.25937","34993.87261","30299.80562","28535.95198","35371.31029","38919.55177","44397.18096","58571.07644","58476.10726","72640.39479","66935.2596","101416.8335","65631.80835","45899.42351","36925.44903","26726.592","40789.076","45050.0778","59720.3344","51219.8516","72092.8026","92964.3842","86541.6156","80540.5141","54673.96609","36861.90211","45139.65208","35314.77648","39965.62238","40165.2755","59338.6857","60090.6609","70904.9256","98160.8586","74783.1694","86893.1227","65565.17164","34248.15616","42493.38223","34582.7929","53609.60235","39917.7749","40416.3313","56977.0585","57607.6546","72739.8057","96585.62","68283.2644","71421.8644","42659.4542","59582.2364","39550.3783","39055.3724","40525.2544","58188.918","61796.2336","71603.5255","85682.5209","80942.1351","55456.0858","66644.9587","36449.2235","44636.8068","45926.155","34926.6229",
"계","연근해어업","계","계","계","생산량:냉동","","","","","","","","","","","","","","","","","","","","","","","","","","9247","4615","3516","4507","6303","4424","2560","2184","7065","10271","7315","9594","4164","2623","2409","1563","1489","1295","1362","4763","9460","9227","9156","9694","4765","2662","1909","997","1070","662","900","2856","11161","9987","4860","4427","5871","5040","2633","1691","1132","1459","1159","2913","9033","11278","9428","9286","7177.183","5098.469","1839.5","1457.275","1158.059","434.157","883.227","1838.463","7264.852","13351.086","8312.964","7556.214","5856.94925","3272.588","1546.81324","725.92972","961.78015","915.484","1190.545","3545.207","8655.78937","8931.41","8581.333","9466.312","7426.6785","4561.629","1946.54073","1838.77","1137.097","1137.211","2118.615","1973.69045","8975.845","9203.207","6879.784","8271.863","6954.8086","5231.20714","6126.715","1784.9868","1667.87122","648.3304","1239.685","4959.6332","14111.8985","8757.3592","10304.0126","7160.948","5586.317","2754.798","945.92218","595.91364","730.5945","462.2905","594.40066","3107.123","3654.835","8495.491","7600.20385","6292.489","4732.236","1950.427","980.648","593.0615","236.02584","531.52312","2775.3228","10443.27789","11266.38178","9025.29044","6482.44614","5183.061","4347.092","1506.401","679.282","494.108","630.983","1844.211","5597.61","4793.069","6858.616","8400.554","4075.86","3491.475","3849.08","3356.367","1343.133","668.295","422.161","1248.814","7412.11","7290.79","4523.974","4095.046","5065.253","5463.474","2994.567","2189.184","2812.131","927.782","618.265","1802.435","5311.732","5071.857","5181.698","3726.227","4791.988","5913.351","2309.556","2718.837","1908.579","622.62","563.33","1359.982","4275.673","5810.335","14290.782","9065.127","5561.283","3540.344","3625.095","1996.438","2872.41","365.813","441.552","1051.039","2499.439","10619.917","11887.861","9681.412","5063.582","3843.565","4335.432","2810.504","1717.292","672.62","664.19","2738.931","4190.803","7692.569","13720.902","9484.254","7031.378","4734.167","5141.235","2761.48","1487.799","994.717","581.567",
"계","어류","계","계","계","생산량:계","","70114","51636","52938","28899","39108","42407","52701","64530","69721","80226","74265","88503","73264","49183","50093","43479","41027","44900","51251","59979","60800","90115","101330","96549","74694","39787","63837","39015","41803","41853","69066","66572","84852","118119","121670","116708","73889","66425","60025","31528","46566","39655","40626","62453","100831","84433","90983","98088","82456","45590","33970","28651","36358","45662","63518","56279","72174","107097","92697","71746","62742","44330","57591","33775","39817","47032","48262","68473","93037","121649","113047","112848","92272.63461","53141.60828","52756.59983","29143.25343","42640.18104","32381.7264","46644.06793","36327.78914","57780.18213","84732.87655","80739.80346","95826.23239","76236.65828","38051.99787","40926.10224","29509.98492","30851.28457","31380.4352","53553.36458","53294.8305","75281.23546","76198.05448","78865.13763","110373.32061","64085.01956","33893.02732","44225.18188","31992.1296","33152.48996","32597.16678","51564.23113","57920.58161","76094.62384","80890.14898","88289.31022","95966.70062","78744.30363","43550.71071","66905.02498","41184.36117","29776.42732","44512.53548","44698.45302","64060.65975","70110.18124","82917.12039","70197.32675","73953.16251","74058.68022","27213.82793","33172.2713","31501.56844","33809.08287","35060.47827","40173.65068","54698.65931","55499.91425","67721.39912","79921.96012","75480.04629","64350.80103","30992.43295","39127.00491","25543.05923","32751.98352","39527.31103","58758.40872","66675.26697","88312.03926","55205.27511","69487.52142","94658.84066","79102.21099","30360.33757","41072.7638","26242.3556","28544.5917","35406.3489","61666.541","64042.1142","106692.3793","97955.5311","102731.0516","75840.2093","93199.66238","34958.3423","31285.61009","29884.75509","36372.25566","38233.31376","39639.23846","57755.80934","56032.24086","72551.70539","70872.2001","106597.4201","64347.4785","44015.58056","35305.4596","27503.81984","41887.5774","41438.9333","60621.2805","52507.3695","66704.0366","85494.7331","84666.8434","80158.3979","50774.82622","37857.95066","46348.8881","35911.52525","40293.26421","36919.6653","57590.4486","59898.4161","66643.1231","88108.2706","72851.1288","85723.8159","67479.11877","34686.36272","42252.46034","31549.21377","49332.00333","33752.914","39085.5474","59246.4372","59690.7258","74782.3036","95613.816","71625.6768","75365.04349","45183.5409","60777.7111","40629.2125","36202.2216","36478.589","58134.9273","62612.7916","77112.9306","91060.0874","87416.29","58769.3526","70126.4504","37567.6029","44377.5429","45573.4766","32595.2749",
"계","어류","계","계","계","생산량:활어","","","","","","","","","","","","","","","","","","","","","","","","","","5014","2839","4234","5040","5982","5329","4543","6087","5237","5401","4607","4181","3453","3325","3929","4616","6099","4752","3673","4466","4421","4097","3834","3582","3849","2870","3168","5032","6882","4952","3532","3849","3840","4556","5376","4204","3553","2668","3533","5445","6217","5043","3993","4101","3618","4289","3971","4778","4038.75266","2402.26075","3266.82988","4277.69872","6190.54604","4743.51971","3817.23115","2674.3124","4028.73515","5169.27636","4299.48568","3539.51556","2548.41728","1797.32658","2613.88795","3362.63108","4483.77632","3992.31125","3060.53825","2719.61767","2565.01355","3410.72855","3617.06593","3215.55302","2743.76643","1929.68731","2519.06419","3499.59603","4349.41301","3632.1596","3116.73826","3035.61489","3250.09365","3960.25593","3818.8287","3481.83958","2491.7787","2094.32135","2488.38324","3277.38229","4960.85639","3523.60571","3028.4151","2995.22842","3087.86864","3813.14022","3084.19895","3215.19377","2667.8533","2234.43361","2325.71812","2916.22397","4376.16941","6196.5581","3385.25421","3154.83454","2596.38959","3640.97857","3176.20955","3206.79218","2786.4859","1843.29245","2508.77224","3121.5943","4157.69035","4003.33561","2853.16667","2949.89431","3890.72938","3366.5251","3650.09787","3155.76354","3320.85087","2199.9433","2529.486","3692.5562","5087.7678","6284.7701","3816.6029","4059.3974","4426.7053","5872.0866","5843.8084","4058.9469","3603.94773","2715.72152","3128.17529","4100.54506","5308.57142","5342.47349","3515.4207","4911.8458","4367.5289","5410.8261","5621.7318","5208.3796","2961.30146","2159.9409","2345.6644","3358.47174","5342.6052","4214.1948","3508.5121","4275.0625","4522.2589","4463.8283","4832.1371","4049.1912","2583.58699","2297.55877","3448.61357","4086.4308","4447.54913","6210.1878","3629.379","4113.6075","3864.8315","4529.189","4613.9944","4279.8244","3406.47072","2193.35944","2819.78719","4340.45","5395.01207","3881.7334","3399.1613","3438.0329","3223.3705","4873.8936","4560.5891","5241.176","3314.37194","3138.8298","3730.8522","4274.1289","4714.0449","3705.317","3160.4317","3311.3107","4127.052","4622.1821","5210.637","4036.6779","3031.2201","2302.5607","3396.1331","5247.9879","5335.6901",
