시점,연근해어업,갈치,고등어,망치고등어,꽁치,노가리,멸치,명태,방어류,병어류,삼치류,전갱이류,정어리,쥐치류,청어,살오징어(오징어)
1990.01,103736529,7823856,2734172,-,399935,538603,2357503,2542616,680377,408635,2373955,27271,883253,4934981,765610,12006495
1990.02,77286230,739470,3597469,-,140358,252028,796254,1806851,520551,578972,1215834,177559,1232921,1708671,768009,7883822
1990.03,97477300,1221939,1923046,-,203212,525607,3445739,1094768,745895,644441,4629534,274024,1255799,3779246,593175,3665906
1990.04,99370877,317908,1165464,-,108562,275244,5038173,436230,598583,661465,1252293,301435,2916451,4048743,173073,1528201
1990.05,109297765,2636454,1983540,-,1755818,233623,6811672,323059,1003814,1741937,218492,793429,2092027,4177917,153787,1328373
1990.06,95115282,9436380,3290056,-,1278990,150573,2536288,312894,386353,1769990,144720,640215,1693577,3817646,79611,3862444
1990.07,98569840,10414293,6564143,-,255197,148764,14300798,318882,324860,2821409,623785,1705153,219464,4006033,74371,7776578
1990.08,109736616,11369859,7609234,-,83,170990,14729239,171599,757597,2382383,1405952,740907,77350,3536296,73513,22628412
1990.09,138294257,18647146,6286967,-,210,192068,11642631,403486,769452,1284236,3041787,502467,36691,3404931,10088,21630519
1990.10,165367404,22665486,6401731,-,1433,228601,11363667,519680,1507875,1358874,4380358,312048,46398,4029724,3645,25320560
1990.11,162079488,25108832,5739479,-,968234,65464,9620368,184439,1851536,1621706,2251700,497077,2034442,3903357,2306,13204453
1990.12,159904079,13306919,7420083,-,971299,200374,4132673,697739,1520151,1180728,1102038,242133,952592,5393014,47134,25536214
1991.01,137856534,4549326,8010623,-,40499,1463834,1611348,2765479,1415433,654821,9069218,76241,134067,5971270,1163392,12863010
1991.02,103983270,1740903,1040203,-,19469,957752,716919,2228135,522131,479500,4184857,69656,451,3402647,640653,9488701
1991.03,107200276,600559,4352183,-,179,866947,2166708,1637260,584599,806357,7394959,44098,11261,1548558,513449,2174311
1991.04,119876831,385782,2653988,-,380762,523387,3003015,614783,141356,934798,1310872,315077,1098053,3686471,223963,1115401
1991.05,126597296,2044287,3583461,-,793310,293953,3854405,174992,472072,3151540,301393,343445,2107370,3687389,138892,997427
1991.06,111576781,9146742,1396681,-,778213,140229,1639443,709787,315857,2707379,292885,566166,514598,2524471,75270,3280989
1991.07,97656562,14717833,5179730,-,65137,125736,8744777,413090,288633,1771168,463632,1985174,270001,2436012,51100,6857719
1991.08,101211862,16206142,7069216,-,559,154585,11241880,317318,206339,824463,345550,2723944,34688,2728376,42521,19107226
1991.09,139629069,17451834,7219875,-,22002,70991,10113535,432310,368035,1002321,2521504,813189,42444,2521921,17132,33520239
1991.10,191046753,27878252,3506114,-,1555,184383,16801797,459654,1661856,781487,3116433,1139535,192492,746122,7717,39117320
1991.11,205267000,28870702,3598293,-,14689,65455,11879514,265191,1506649,1093648,1909885,1262453,1757802,1260603,21262,42965644
1991.12,185901738,13151088,7151295,-,79762,291347,7380611,1127749,1509368,978719,4003161,275720,767612,1645525,109244,32988797
1992.01,137865369,6701947,2816774,-,17534,939344,2076983,1727290,497226,372288,635953,90917,9424,4777689,1348942,21884639
1992.02,97511618,1873951,5176569,-,3570,1548359,281264,2955490,108181,499823,2568706,120762,1340715,1914597,1218341,7553773
1992.03,137415697,2641981,8189222,-,50109,1588116,1678092,1675203,205805,838902,2276004,632337,637116,3962623,427050,11269192
1992.04,132505222,1306549,4334138,-,35154,545530,2023607,622114,268407,1199398,513317,1182441,907462,3397311,215708,4088656
1992.05,128539920,2099188,4816916,-,131567,228610,4576276,449198,345136,2252568,107944,1915230,1297883,2663198,152331,2577534
1992.06,136131967,15273019,4013456,-,121916,620499,3679663,1012374,334733,1707347,302564,3705129,3322542,1697629,104481,4120137
1992.07,112151808,16671253,9983652,-,9555,169121,11314043,423983,235192,1875413,680045,2363179,773476,2137972,70598,4665680
1992.08,101785740,17203536,12624222,-,3589,76991,8368028,387929,199001,1488148,1104501,741887,45612,1420903,8894,7869544
1992.09,127122165,15069309,5295979,-,13959,54812,5671421,280656,517710,1170099,2350215,1261196,8103,1681951,10878,21594214
1992.10,221318638,28741498,11607361,-,17014,42402,12134284,229107,1895972,1821142,2794829,1254639,18312,2769823,13416,35262395
1992.11,208085290,25921535,8227212,-,70870,122366,12891144,457963,2466647,3545689,1872533,599741,13068,1235157,9359,21906019
1992.12,196213921,14018655,13934243,-,73777,54577,8243679,1766549,1020813,1756380,1997716,730875,651484,1703490,112215,32523549
1993.01,132255238,2328175,3729511,-,25885,380753,3501830,1941354,337110,604661,5723313,372243,4762,1693464,722922,18693478
1993.02,122290583,2382303,2947295,-,5551,691302,1720929,3199096,434663,732368,4002773,190610,44659,2677678,579038,9745054
1993.03,161554205,2411737,5595331,-,2122,899226,7299184,2704942,242581,1495529,3215004,793459,745006,1033386,491499,6824746
1993.04,175374575,805420,4066446,-,107207,832102,9433418,812764,55819,1815589,569677,1234250,1664280,1729560,291852,3175097
1993.05,193638147,3402295,5430695,-,198406,206657,10257141,413024,335085,4029732,215667,1608352,1338605,3265988,124742,5073868
1993.06,185579567,9282597,7465844,-,395461,143216,18681879,285340,336176,4027753,356021,3979705,522364,1178700,72356,7999299
1993.07,192926406,12800473,7500114,-,201663,254672,21354450,427005,1768015,2534063,4227243,4556315,545050,1414662,67943,17543952
1993.08,169369803,17278493,13990586,-,3459,153608,31366120,566786,215329,1192969,1047259,1495751,378034,1427293,25027,21485950
1993.09,228227658,18830792,8828901,-,19491,145547,38789220,577378,422352,1182938,2372407,2276031,964293,949963,30796,39506624
1993.10,246858369,26609994,8882053,-,6186,91840,33379288,697171,1221032,1907559,2142501,717687,98495,1373730,34158,39180566
1993.11,237738617,20611867,8622799,-,13610,61975,18507492,1384666,1116274,1133825,2716440,1228360,29051,1301296,35908,30557594
1993.12,237726485,20170770,16835821,-,20239,106572,13008202,807451,1817578,939866,1347555,562540,975910,1073507,226973,34162609
1994.01,186673883,9855742,8878998,-,187961,120280,10100216,1786321,1341831,1544906,4666677,542032,4853,2832114,1009436,10815569
1994.02,111686330,3820616,2667004,-,88736,381118,2917997,2690803,666264,849519,4414259,141466,7273,1138233,599922,4506502
1994.03,152591974,4494786,3456076,-,57323,884436,6755159,3406953,190052,1453538,2474503,654940,1642293,463963,591286,4436029
1994.04,171285310,2565866,3269926,-,154704,471766,3793500,1568390,616368,1625460,1040135,1341706,929911,349447,394957,5012406
1994.05,191632161,4666979,3770086,-,917603,252217,7871147,493252,686079,2436984,399779,2810199,694367,1276478,253154,6232641
1994.06,193588729,8040736,4406109,-,1127935,145964,21757049,335412,392599,6002430,319844,4246507,2799483,385141,159909,13892671
1994.07,180647541,14218194,8759551,-,123699,115873,46798982,263451,383276,3717414,459504,2413285,67066,137453,45595,18122550
1994.08,165173468,21992942,6961556,-,3454,39174,29793561,411130,581186,2569558,780268,4441765,9187,259870,8710,22099776
1994.09,280888766,30153965,13032066,-,1821,99906,35963114,540001,1231869,2156494,2838105,1332786,8666,1780668,27330,56243674
1994.10,305094534,26480675,7919503,-,3894,253790,25730461,1331791,2042901,2190114,2493672,119525,17323,1253095,6501,78591120
1994.11,316846828,38869812,16739665,-,37237,150115,16832830,1066132,2664992,2885388,2060939,741720,31693,718462,10938,56604828
1994.12,264496587,19997076,15387159,-,278580,280459,8105767,1126321,1714602,2453951,3099416,386309,45870,731409,162183,46270430
1995.01,197515120,9106262,6592955,-,143616,537019,7329836,2213308,1821008,3303962,7685119,206906,266316,968252,814197,24933992
1995.02,135484068,4444009,5868098,-,203992,1486066,6484291,2982906,846603,1270601,5227049,207287,87663,212249,732161,8837781
1995.03,165325852,6136576,4480128,-,405263,1214094,10083068,3628016,257624,2294859,6392061,329553,1349613,317694,382703,7020826
1995.04,180636211,4115794,5695636,-,759783,957145,7259865,2042625,96865,2454078,2981975,763929,1462091,442026,422088,6963460
1995.05,196771245,5919257,4963589,-,1662647,326898,8605424,982800,662428,2943372,877436,610122,506899,602965,330781,7527533
1995.06,187639578,17204205,11405602,-,2084382,260384,14483616,664217,1116599,3567985,622385,1080166,1108090,424062,385765,8299265
1995.07,164386829,22509666,11254084,-,133964,24800,28651211,799258,401355,4079981,376701,1844477,200153,180294,497224,9704846
1995.08,167741306,36732882,11824884,-,6667,92266,27177578,428798,462763,893499,519405,1258970,8924,589098,220030,14632130
1995.09,238062724,31080813,12088423,-,17393,192844,25359113,791189,328042,3023045,1580553,2952778,174846,312081,11940,57133214
1995.10,313443575,35235677,16933415,-,48778,92525,31677079,1122901,1456974,1833969,1796346,417527,44640,761944,29895,73381071
1995.11,276157457,29596263,17189079,-,300177,14624,20356177,1793532,2311491,1994004,3509471,332331,7619,952171,14338,53613128
1995.12,256277557,18602326,21854556,-,115177,193758,11607721,2176824,1105172,1985762,3162479,507831,20742,470397,268230,38990716
1996.01,243175785,8813130,33140581,-,55687,207017,27013618,3450328,753859,1701613,3005007,151883,16157,635616,984763,21341901
1996.02,134672390,7687138,6705757,-,104246,228766,3972227,3205009,278644,1632100,1520314,208264,121152,221843,680752,4536036
1996.03,154130554,5116744,8182587,-,80004,522351,7556657,4069497,85535,2007911,1596888,260422,1445758,302092,1074942,3519281
1996.04,194473879,4558366,9780324,-,898988,595133,5501156,2278618,40878,1792245,1133518,199933,318715,306204,547220,4004073
1996.05,200435778,5147754,6080688,-,2402171,228055,8545088,527965,595677,3039777,871658,268866,996040,572835,375849,3876778
1996.06,171590196,7710648,4370852,-,3078060,214896,25123040,589490,361614,2886162,107533,1671105,4361421,316126,143545,5962625
1996.07,232702037,25842182,11267611,-,1388740,248695,92179660,506006,198976,1790889,132886,1054110,542104,341503,52349,11526013
1996.08,201226748,37433872,12849787,-,45770,140350,57048834,405461,313710,1493905,63568,4132305,324558,131494,39308,19021600
1996.09,272098449,57302887,15744768,-,703,80184,25940625,295528,1114285,2286745,652032,1209079,179954,669330,68006,41456665
1996.10,339354382,33251057,8937066,-,262872,14387,25216580,278439,3081923,3512987,1414391,242471,32668,1551622,32473,98576815
1996.11,319126751,21336612,14626877,-,1161446,8280,12427315,212092,2913133,3241105,2821771,4506534,56379,1345894,101604,82996827
1996.12,272092241,14677912,13693795,-,1051932,69065,8178332,392898,1670656,2584777,2663121,510195,406579,429237,174710,63183324
1997.01,194153466,7876487,7182714,-,493094,174885,12814555,2610963,838567,3340083,2109314,347019,75980,2702153,1694414,27933302
1997.02,108497668,4352857,2481793,-,412134,41859,3706444,1595078,901815,1958448,766755,388321,5235,1666228,1624594,3747547
1997.03,168989608,6005318,2929114,-,971037,78076,8948083,2118871,1060991,3230439,2227615,1311292,220987,2428139,987074,3377625
1997.04,184035950,7151889,2074167,-,3383452,397980,5783256,1526598,572382,4051262,1556992,1059616,1674629,591183,525217,4283930
1997.05,192166654,13620931,815425,-,4296313,148193,7864717,944926,603669,2120770,463567,1717821,432856,608316,543205,7212595
1997.06,186911697,13822897,13828753,-,3930062,241825,15262483,1102243,346164,2967852,101712,1775191,257110,1200379,607256,13592883
1997.07,198584840,18126113,12163364,-,477067,88559,68982516,1018990,146567,1603291,115889,728749,1556847,1469955,392918,14983250
1997.08,193610098,22859822,11946749,-,8410,4562,49012744,513535,338437,1415074,275621,1877066,241939,988263,166634,19169138
1997.09,251456198,29159145,13105309,-,49596,11551,23914092,567380,509088,1980919,1426348,2544173,73959,1095636,69741,42912878
1997.10,305279734,20823625,17958159,-,396919,23684,23584730,722744,1739348,2991626,4795231,1478877,149635,1820270,171220,46300037
1997.11,253155608,16887227,16938489,-,603125,77225,11367582,1645497,1908424,2002353,6156031,1343153,35366,2443785,117224,26636673
1997.12,246515157,13933873,16285813,-,160184,41798,9676508,2287418,1087260,1557654,8376411,607121,1687,2563658,221881,37675351
1998.01,151807002,4951105,13106467,-,585460,1547,10961353,128534,347913,2194213,3826589,749981,29922,1717486,778639,14284455
1998.02,101069762,2195955,6852678,-,66804,-,2693959,1705230,1165905,1492992,3081957,283265,23973,243412,1452418,5169677
1998.03,149864528,3737034,7050840,-,416482,-,4915100,2891177,418279,1996921,2375735,864413,986291,2067483,795595,6210115
1998.04,161688874,2403027,8227950,-,949936,-,5339522,1643517,290564,2515349,1599723,2297434,423090,1290457,788735,4715331
1998.05,159254728,3443421,10875222,-,1304490,-,7701618,892265,635901,2646960,1029416,3307831,781620,1684314,763407,5998530
1998.06,149514384,7399612,18258954,-,1140438,-,13823154,962313,497957,4124631,407627,1935933,9225,1672714,555817,7147254
1998.07,172864212,20219344,15260468,-,217667,-,47502335,1000050,243768,1889903,512422,3409359,95633,1261196,101539,11384205
1998.08,167634330,29402036,12942050,-,4717,-,25240230,500751,650684,1648917,1107502,2929986,1150076,1445584,41341,22010036
1998.09,249531345,32480450,19215492,-,1816,-,21603881,1166257,1159550,3272309,2036197,2718449,481377,1920629,111073,54194216
1998.10,246604962,16138720,13702251,-,3317,-,30841766,259532,1876772,1922106,4734650,606319,47463,2763131,503069,51999974
1998.11,295552901,21359213,13062026,-,122615,-,22708706,501061,4890158,3215118,8951682,2233228,48969,2450029,868205,46358676
1998.12,288250321,16760366,38049338,-,832916,-,17327783,616673,2888263,3631080,12309403,447827,265773,1013593,468586,55023059
