시점,연근해어업,갈치,고등어,망치고등어,꽁치,노가리,멸치,명태,방어류,병어류,삼치류,전갱이류,정어리,쥐치류,청어,살오징어(오징어)
1970,42600276,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1971,51393793,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1972,62939605,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1973,90813527,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1974,113109792,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1975,148895082,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1976,185628882,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1977,282170804,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1978,303796268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1979,444464637,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1980,473722664,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1981,617159990,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1982,673667654,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1983,817677491,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1984,774174774,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1985,856441736,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1986,1002015993,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1987,1077931571,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1988,1156309560,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1989,1365568635,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1990,1416235667,123688542,54715384,-,6083331,2981939,86775005,8812243,10667044,16454776,22640448,6213718,13440965,46740559,2744322,146371977
1991,1627803972,136743450,54761662,-,2196136,5138599,79153952,11145748,8992328,15186201,34914349,9614698,6930839,32159365,3004595,204476784
1992,1736647355,147522421,91019744,-,548614,5990727,72938484,11987856,8094823,18527197,17204327,14598333,9025197,29362343,3692213,175315332
1993,2283539653,136914916,93895396,-,999280,3967470,207299153,13816977,8302014,21596852,27935860,19015303,7310509,19119227,2703214,233948837
1994,2520606111,185157389,95247699,-,2982947,3195098,216419783,15019957,12512019,29885756,25047101,19172240,6257985,11326333,3269921,322828196
1995,2479441522,220683730,130150449,-,5881839,5392423,199074979,19626374,10866924,29645117,34730980,10511877,5237596,6233233,4109352,311037962
1996,2735079190,228878302,145380693,-,10530619,2557179,298703132,16211331,11408890,27970216,15982687,14415167,8801485,6823796,4275521,360001938
1997,2483356678,174620184,117709849,-,15181393,1330197,240917710,16654243,10052712,29219771,28371486,15178399,4726230,19577965,7121378,247825209
1998,2293637349,160490283,176603736,-,5646658,1547,210659407,12267360,15065714,30550499,41972903,21784025,4343412,19530028,7228424,284495528
1999,2280019536,154441115,151543477,-,13762998,-,153650003,5058095,17707054,39790304,39184637,11405618,5952454,12549731,11211669,350616119
2000,2329483389,203707488,148771100,-,26011003,-,203277685,3584738,14278262,26788128,44822828,16402750,875031,8935730,11489593,279594818
2001,2468308722,244674996,183370839,-,9728728,-,303170891,618351,15933468,32220906,48794589,17437729,115694,8884312,9950994,283241426
2002,2487006174,203283282,170776384,-,11581148,-,315690877,1632726,10053614,29230459,44406963,24772360,6700,5977984,3309440,304054096
2003,2405810605,200408083,157906034,-,2618637,-,186601497,1625647,10089532,36316808,38226902,16024932,15531,8706980,3095345,372976655
2004,2609717094,194638566,233855568,-,4473207,-,167694960,477504,12747709,44398299,56010775,24506185,102815,10631933,4055133,443191475
2005,2705954841,225004302,167381930,-,5778522,-,286772899,205928,8301093,57638682,60006293,26795740,24759,8757175,6928059,405948991
2006,2751251398,198611418,147817335,-,1434851,-,274886140,138840,10594520,68217465,50519862,14453996,296,7347845,7619287,348618363
2007,2939109483,228329815,179313628,-,5141973,-,233260385,65966,12354370,54888679,55065309,16367635,52936,24521488,14435677,263462618
2008,3222256094,328467455,205838094,4244222,5874232,-,286631484,12008,20948447,61230008,84547300,23689092,59278,19772087,25501097,282700978
2009,3640436977,296454193,190236189,90141748,4989080,-,286418706,22468,26691813,51761100,106662299,16654639,63955,27090981,24963381,390506136
2010,3911681208,300903156,167876152,7451539,5017410,-,390404552,19492,35662831,69105041,114071337,25053522,34385,17263213,23831376,567827691
2011,4444105662,294175675,287794231,15670471,5811569,-,429826880,33404,26386601,74359756,107160506,36549106,1560524,13851557,24279635,693641997
2012,3951034494,278847717,257462890,5590040,6099163,-,286224465,12439,26695471,61804203,129894220,31808450,595487,16281762,22409428,548876240
2013,3747606556,290445709,191958387,16875713,5854739,-,322043791,9158,31413638,76692804,100636478,18589977,3508530,10993859,34339717,450935613
2014,3772938822,283545191,208498864,6574299,1099291,-,354508335,25930,31051091,55839952,88949350,25048112,218590,16883590,21171504,444527589
2015,3702306439,244135363,204804942,12942521,2083546,-,264506309,36979,27868700,58648444,111516759,28924870,1729057,13880613,26218977,413216888
2016,3635893251,274200697,167203075,19444366,2929948,-,233460920,66179,41182247,69249577,110999039,19537845,3148190,12915848,24388789,483121866
2017,4014055960,438738840,130142047,12589877,2377193,-,351741031,38356,49992590,79449667,116705291,21828604,8043587,13523383,35483416,492657660
2018,4136066330,351995221,156415665,55596748,2954558,-,323602778,111738,49311477,88566496,105641442,23631254,4533246,16460068,26022162,382055218
2019,3957149057,302600055,129607780,19209115,1688788,-,283203767,1611,69407352,96374100,134993114,32648041,1672918,20279675,27043954,384354356
2020,4371756600,466030782,163792639,9237269,2820954,-,337970055,-,50278947,86627097,112672416,41095239,1006498,16187985,17607657,506153386
2021,4150427061,453685617,194376615,22273157,3074776,-,197877521,-,54593204,86991758,92911549,40982388,137250,17428357,12326682,461690161
