시점,연근해어업,갈치,고등어,망치고등어,꽁치,노가리,멸치,명태,방어류,병어류,삼치류,전갱이류,정어리,쥐치류,청어,살오징어(오징어)
1990.01,106848,7129,7927,-,275,3265,4441,2320,609,234,2823,157,7507,17570,1800,6834
1990.02,89006,873,10042,-,99,2298,1377,3574,346,460,1042,1317,14785,8768,1805,4993
1990.03,121790,2263,4606,-,149,4349,6896,1076,206,530,5377,1245,13775,21192,1381,2747
1990.04,126214,748,1994,-,73,1822,7845,278,192,416,989,1678,32361,22276,423,961
1990.05,123928,2218,2398,-,1311,1162,9653,273,1129,866,179,3921,22484,17837,340,979
1990.06,122185,9220,2723,-,1241,632,5532,341,152,873,117,1581,15627,21985,167,3789
1990.07,98908,11763,5080,-,243,547,15903,513,129,1469,308,1235,2012,20516,91,4610
1990.08,108663,11027,7192,-,0,761,23077,334,183,1128,533,1064,460,18768,105,9914
1990.09,113158,14722,5283,-,1,701,16446,223,232,689,1270,1408,122,15276,20,9870
1990.10,137207,17750,14520,-,4,627,13849,204,420,1107,2194,712,455,17248,6,11985
1990.11,146277,18024,9547,-,881,106,15888,321,590,1431,1145,1345,14418,15020,2,5765
1990.12,177626,7999,24985,-,1024,257,9285,341,344,1101,723,923,8348,33066,79,11725
1991.01,131037,3039,26230,-,45,2285,4745,1879,766,539,6752,263,1164,22301,1390,5163
1991.02,69137,1534,2539,-,18,2340,3114,2084,244,375,2194,279,0,13817,786,3651
1991.03,88989,957,12019,-,0,2305,6686,1818,119,820,5898,149,57,3808,821,897
1991.04,97076,433,6224,-,327,959,7393,611,90,585,1128,1398,9077,8886,528,477
1991.05,99432,1075,7429,-,773,427,6755,184,145,1975,256,1894,14540,6328,514,428
1991.06,93657,5067,1197,-,1673,335,3492,2008,88,1824,240,719,3775,2026,222,1953
1991.07,72714,10364,3278,-,39,440,12230,543,80,1142,231,1672,1243,2348,112,3928
1991.08,77480,11695,5588,-,1,598,14266,281,67,396,226,4809,202,2130,52,10542
1991.09,102468,16346,8055,-,18,119,10656,204,211,509,1143,1023,175,1722,9,17191
1991.10,122046,18141,3836,-,5,161,21684,165,615,540,1636,1292,519,461,11,19698
1991.11,136028,18064,3559,-,8,28,15875,57,399,757,1123,1998,8318,1327,28,22848
1991.12,136715,8751,9784,-,47,119,17617,270,1105,600,3458,427,4894,4590,113,20831
1992.01,87938,3474,3022,-,17,518,5125,539,107,138,647,113,20,8440,1737,13538
1992.02,73960,1724,11138,-,3,1268,877,1797,21,219,1509,263,7107,3355,1625,4761
1992.03,99701,2169,9590,-,55,1055,5152,883,70,446,1448,1656,5459,5516,879,8547
1992.04,85160,1449,4425,-,28,368,4721,433,21,482,533,4282,6744,4773,626,2076
1992.05,80670,1263,3868,-,93,313,8200,298,70,812,111,3938,5256,2574,451,1125
1992.06,109167,9650,2163,-,97,698,6027,4012,64,774,224,3643,13781,1648,259,2093
1992.07,79028,11484,5453,-,7,369,15703,410,40,874,328,3042,3770,1596,115,2247
1992.08,78660,13681,14289,-,6,204,13795,191,46,445,256,1536,214,613,14,4368
1992.09,83395,9832,4838,-,13,115,9250,80,162,487,649,2536,64,1098,37,15693
1992.10,146453,14466,13321,-,28,44,13439,55,610,808,843,2837,61,2470,26,35239
1992.11,125353,12537,12487,-,41,52,15053,80,411,1866,541,1086,27,594,15,16676
1992.12,157057,5440,31025,-,51,37,19572,726,163,1083,836,1601,3204,1469,94,30565
1993.01,92611,979,9569,-,29,460,8442,1243,111,293,3776,874,21,1528,837,20694
1993.02,73617,1051,6924,-,8,1280,4005,2014,186,338,1871,755,195,2943,781,7915
1993.03,117571,907,14312,-,1,1931,21277,2111,29,618,1924,4140,4051,901,731,4688
1993.04,123182,357,9814,-,49,1297,26291,700,6,704,367,6090,8448,1124,555,1710
1993.05,126513,1136,7840,-,114,366,18741,369,63,1290,86,3487,6177,2126,403,2990
1993.06,121018,3308,8231,-,339,486,29732,316,60,1325,107,3499,2167,464,190,6646
1993.07,124700,6434,7383,-,144,1002,20215,537,1633,1043,3401,4288,2012,626,143,14301
1993.08,105940,10087,19111,-,2,460,23935,645,36,353,347,2989,1155,344,30,14069
1993.09,156673,8574,18798,-,20,190,26705,274,96,416,425,5881,4195,201,34,41101
1993.10,154300,12288,14753,-,16,66,25191,226,209,866,584,1652,391,376,39,38896
1993.11,147922,7163,14958,-,9,16,20194,435,124,505,653,2707,50,303,31,30115
1993.12,182092,5751,42991,-,14,13,24481,173,187,350,386,1733,2423,428,209,36342
1994.01,129803,2665,29368,-,153,22,16238,591,495,449,1795,2349,14,1991,1211,7038
1994.02,60470,1047,11433,-,47,328,5098,1447,316,243,1572,660,55,885,511,2022
1994.03,117367,1387,22561,-,25,1159,17763,2482,53,630,858,3363,11700,310,473,2442
1994.04,111252,1181,21433,-,92,529,8695,938,355,572,520,7279,7533,147,459,2048
1994.05,120494,1963,16430,-,1305,258,8855,223,82,672,164,10759,2849,232,507,2316
1994.06,117808,4575,7646,-,1149,320,14322,271,45,1485,95,6819,13683,151,327,9285
1994.07,106152,9421,12500,-,117,320,35593,289,50,1021,164,2299,442,36,48,8008
1994.08,85767,12049,11648,-,2,69,20682,215,67,813,210,1683,44,45,24,7642
1994.09,144659,19933,18548,-,3,40,20875,161,309,787,826,867,66,145,54,26102
1994.10,173889,16991,10597,-,12,50,16803,480,461,913,603,274,77,212,24,56000
1994.11,163290,20614,20384,-,16,14,13258,228,476,1202,551,1223,117,108,6,34392
1994.12,155406,9226,27894,-,174,34,15216,280,792,1062,1309,858,127,120,221,32277
1995.01,113464,3505,12318,-,73,85,16310,952,1202,1025,5009,370,680,361,1010,15497
1995.02,86486,1518,15168,-,203,409,14430,1069,257,531,2884,466,169,86,1382,4630
1995.03,111181,1942,9333,-,410,342,28988,1430,61,1097,3764,749,4180,136,696,4030
1995.04,100896,1490,13529,-,509,244,15613,810,8,1153,2153,1804,5864,153,956,3115
1995.05,110437,2184,8320,-,1978,112,19571,377,140,1165,523,943,848,176,830,3015
1995.06,96154,5979,11253,-,2971,296,15311,439,492,1282,311,1062,1286,141,1047,3346
1995.07,72249,7766,9891,-,120,45,15603,503,106,1228,95,1125,156,54,1546,3802
1995.08,73506,14456,11090,-,4,181,12911,132,75,257,103,1360,7,82,839,5384
1995.09,134718,14398,15271,-,6,389,19116,204,201,802,243,2375,264,96,14,34277
1995.10,190269,17577,25108,-,23,101,22799,214,485,746,317,624,24,217,71,54538
1995.11,172975,15366,29261,-,172,9,30627,309,439,800,786,538,14,126,10,36162
1995.12,162878,8415,39939,-,75,49,19400,464,120,810,1241,853,47,127,221,33101
1996.01,146024,2181,58214,-,33,73,16725,732,131,739,1862,515,123,278,934,11525
1996.02,67847,2396,17997,-,70,178,3362,919,176,534,781,518,198,99,908,1593
1996.03,103317,1835,32881,-,70,515,16129,1324,17,876,819,710,3288,132,1023,756
1996.04,129358,1364,56418,-,649,1167,8273,675,4,657,443,877,969,126,810,784
1996.05,105119,2461,27126,-,2803,412,6303,91,89,1059,362,603,1915,119,608,981
1996.06,89749,3022,12437,-,3689,580,11113,193,70,1011,38,2025,7774,49,343,1812
1996.07,123785,7703,18658,-,838,679,61221,146,36,654,41,551,1041,46,219,4475
1996.08,114851,13325,28906,-,27,168,37187,186,76,479,12,2455,699,81,81,8283
