부호,어종명,항목,단위,2023.01 월,2023.02 월,2023.03 월,2023.04 월,2023.05 월,2023.06 월,2023.07 월,2023.08 월,2023.09 월,2023.10 월,2023.11 월,2023.12 월,2024.01 월,2024.02 월,2024.03 월,2024.04 월
합계,합계,총중량[kg],kg,296408.5,383882.5,375375.5,445012.1,689129.1,1213707.9,1083707.1,2073198.4,3761985.5,3468277.6,1642068.9,788427.5,441657.5,385467.5,439308.5,576259.5
3,가오리류,총중량[kg],kg,,16.2,84.8,,,13.4,9.9,,4.9,59.2,22.4,14,30,366,118.4,15
6,가자미류,총중량[kg],kg,79668.1,134977.7,53109.4,31819.2,25293.8,19872.5,12213.8,8768.1,6457.1,3846.2,1476.2,34341.1,30138.3,93594.5,45246.2,37434.9
7,기름가자미,총중량[kg],kg,8.8,,,,,,,,,3.6,,,,,,
9,갈치,총중량[kg],kg,,5530.2,35913.4,22171.4,83566.9,239696.5,16095.2,1156072.2,1961465.9,1590505.6,841861.2,159244.1,6911.9,30.6,628.8,995.5
15,고등어,총중량[kg],kg,225.4,365.7,997.8,483.7,529,4913.1,10062.7,35389.4,19950.3,10177,4275,1500.9,303.7,437.8,98.9,96.3
18,꽁치,총중량[kg],kg,481.9,933.9,,,,,,,,,,1840.6,2572.5,66.4,6.7,
21,학공치,총중량[kg],kg,1362.7,613.8,493.5,,,,33.4,35.7,,1856.5,,2188.6,5419.9,4415.3,1775.6,441.5
24,넙치류(광어),총중량[kg],kg,193.4,302.4,6740.4,53646,123872.9,62719.8,41913.8,52060,7139,16069.8,21899.7,6065.3,512.7,378,1737.3,29512.7
30,농어류,총중량[kg],kg,229.5,180.9,6684.4,15640.7,24426.5,47629.5,25777.8,28618.9,9862.6,7724.1,8020.8,1092.7,1662.1,321.6,1107.1,7006.5
33,눈볼대,총중량[kg],kg,356.2,,,,,10.5,,,,,,,,,,
36,능성어,총중량[kg],kg,19.4,5.8,,,429.5,1.5,3.4,250.9,25.4,21.4,25.5,,,,23.6,387.7
38,참다랑어,총중량[kg],kg,,,,,,49.6,25.8,25.6,14,443.4,197.8,70.7,54.1,43.5,,16.6
39,기타다랑어류,총중량[kg],kg,,,46.2,,,7.4,,169.3,126.3,13.5,928.5,85.6,,,2.4,
45,대구,총중량[kg],kg,17493.3,16885.6,17693.9,2571.5,1331.5,3505.4,8994.4,19473.6,22696.8,27062.2,35506.9,48776.9,36818.4,24705.7,25397.9,4602.2
48,감성돔,총중량[kg],kg,23007.3,18088.5,31521.9,30296.6,4457.1,17068.2,8108.7,67518.5,105509.6,95351.9,83440,89421.1,59952.4,48427.5,49533.4,61283.9
51,옥돔류,총중량[kg],kg,6.8,,6.6,33,29.3,,,,,23.4,2.6,2.2,27.4,,2.3,21.2
54,자리돔,총중량[kg],kg,,52.9,5.6,95.1,363.8,318.3,33.3,58.4,66.2,152.6,71.9,117,132.7,89.3,96.3,217.4
57,참돔,총중량[kg],kg,29234,27719.4,17500.8,17249.9,42724.3,60658.2,36433.8,41262.7,30495.9,27659.6,32275.4,42179.1,36244.4,19230.7,45446.2,35960
59,돌돔(줄돔),총중량[kg],kg,402,267.2,432.1,743.8,3544.1,8783.6,6022.5,6757.5,3548.9,10688.9,7820.5,3172.1,13226.1,6515.9,5306.8,12683.4
60,기타돔류,총중량[kg],kg,2860.2,2840.5,2472,2649,5609.2,24115.9,22035.3,16774.7,13444.5,9834.9,5728.9,3242.4,2372.9,4303.6,7764.1,18331.6
63,망둑어류,총중량[kg],kg,,,,,,,,495.3,1590.7,2101.4,2735.6,121.8,29.8,,8.4,
69,멸치,총중량[kg],kg,,,,,,,,0.3,,,,,,,,
75,민어,총중량[kg],kg,,,63.8,541.9,3082.9,9004.5,11119,13362,4480.5,6820.9,88.9,,,,12.9,
78,방어류,총중량[kg],kg,22256.7,12158.6,28928,20464.2,19328.7,16565.9,29697.6,16529.4,17949.7,56198.5,80626.6,112584.7,45641.1,18207.7,15717.2,20356.3
81,밴댕이류,총중량[kg],kg,,,,,,19.8,,,,,,,,,,
87,병어류,총중량[kg],kg,,,,,,402.2,53.3,,,,,,,,,
90,보구치,총중량[kg],kg,,,,546.7,5541.6,58197.1,215782.6,338962.9,1082.9,412.6,158.4,,,186.5,102.8,101.8
96,복어류,총중량[kg],kg,2.4,4.4,6.4,25,82.1,602.2,10.1,68.5,103,1986.1,438.3,33.6,24,22.3,,23.3
99,조피볼락(우럭),총중량[kg],kg,32826.2,81002.6,53268.7,92800.4,121941.4,88250.5,37587.8,35504.7,25205.5,39417.9,74740.5,78142.6,52978.3,29805.1,34483.1,96881.6
102,기타볼락류,총중량[kg],kg,41273.8,37547.8,44542.9,35386.3,33946.4,27099.6,6048.6,3073.6,4039.4,3064.6,4771.9,98738.1,91507.6,73945.6,134970.6,121533.2
103,노래미류,총중량[kg],kg,790.1,2140.7,6981.8,35847.9,33442.9,22061.4,12020.5,8516.2,9551.5,9400,1134.1,3206.9,4825.3,5744.6,9395.7,27872.8
