date,nino3.4 index,ONI index,nino3.4 수온 평균,nino3.4 수온 평균(3개),nino3.4 수온 평평균,nino3.4 수온 표준편차
2024 06,0.207471,,27.872335,,27.664865,0.627709
2024 05,0.27376,0.432105,28.115168,28.191275,27.841408,0.614643
2024 04,0.815084,0.778567,28.586321,28.376213,27.771236,0.657626
2024 03,1.246858,1.207435,28.427153,28.413889,27.180296,0.817327
2024 02,1.560362,1.531435,28.228193,28.312346,26.667831,1.007264
2024 01,1.787085,1.788519,28.281693,28.368279,26.494608,1.164648
2023 12,2.018108,1.903463,28.594948,28.512709,26.576839,1.219633
2023 11,1.905195,1.840008,28.661486,28.517368,26.75629,1.177667
2023 10,1.596722,1.693428,28.295671,28.410263,26.69895,1.01164
2023 09,1.578367,1.503055,28.273634,28.246237,26.695267,0.834961
2023 08,1.334077,1.339169,28.169405,28.263906,26.835327,0.818931
2023 07,1.105064,1.123663,28.348682,28.371599,27.243618,0.677102
2023 06,0.931848,0.839768,28.596712,28.423065,27.664865,0.627709
2023 05,0.477698,0.534997,28.319105,28.294167,27.841408,0.614643
2023 04,0.192268,0.217655,27.963505,27.815302,27.771236,0.657626
2023 03,-0.017,-0.086983,27.163296,27.119471,27.180296,0.817327
2023 02,-0.436216,-0.382985,26.231615,26.397926,26.667831,1.007264
2023 01,-0.695737,-0.660465,25.79887,25.919294,26.494608,1.164648
2022 12,-0.849441,-0.828729,25.727398,25.780518,26.576839,1.219633
2022 11,-0.941008,-0.88014,25.815283,25.79722,26.75629,1.177667
2022 10,-0.849972,-0.908448,25.848976,25.808388,26.69895,1.01164
2022 09,-0.934364,-0.929867,25.760902,25.813314,26.695267,0.834961
2022 08,-1.005265,-0.849377,25.830063,26.075361,26.835327,0.818931
2022 07,-0.608502,-0.763389,26.635117,26.484547,27.243618,0.677102
2022 06,-0.676401,-0.783569,26.988462,26.799728,27.664865,0.627709
2022 05,-1.065803,-0.911549,26.775604,26.847622,27.841408,0.614643
2022 04,-0.992442,-0.992235,26.778795,26.605412,27.771236,0.657626
2022 03,-0.91846,-0.879209,26.261835,26.327246,27.180296,0.817327
2022 02,-0.726725,-0.835178,25.941107,25.945732,26.667831,1.007264
2022 01,-0.86035,-0.884168,25.634258,25.695593,26.494608,1.164648
2021 12,-1.065429,-0.934068,25.511412,25.675179,26.576839,1.219633
2021 11,-0.876425,-0.912733,25.879866,25.764627,26.75629,1.177667
2021 10,-0.796346,-0.647614,25.902603,26.069221,26.69895,1.01164
2021 09,-0.270069,-0.452468,26.425198,26.290714,26.695267,0.834961
2021 08,-0.290989,-0.250441,26.544338,26.674295,26.835327,0.818931
2021 07,-0.190266,-0.1686,27.053352,27.079336,27.243618,0.677102
2021 06,-0.024545,-0.177667,27.64032,27.40563,27.664865,0.627709
2021 05,-0.318188,-0.307687,27.523218,27.451483,27.841408,0.614643
2021 04,-0.580328,-0.483743,27.190908,27.113903,27.771236,0.657626
2021 03,-0.552714,-0.672912,26.627581,26.533543,27.180296,0.817327
2021 02,-0.885694,-0.788321,25.782137,25.99259,26.667831,1.007264
2021 01,-0.926556,-0.943364,25.568052,25.636396,26.494608,1.164648
2020 12,-1.017841,-1.06793,25.558998,25.541315,26.576839,1.219633
2020 11,-1.259393,-1.14715,25.496899,25.53021,26.75629,1.177667
2020 10,-1.164216,-1.030081,25.534733,25.686754,26.69895,1.01164
2020 09,-0.666635,-0.797757,26.028631,25.945423,26.695267,0.834961
2020 08,-0.562421,-0.462416,26.272907,26.462322,26.835327,0.818931
2020 07,-0.158191,-0.338824,27.085426,26.909113,27.243618,0.677102
2020 06,-0.29586,-0.234541,27.369003,27.348757,27.664865,0.627709
2020 05,-0.249572,-0.045158,27.591837,27.714012,27.841408,0.614643
2020 04,0.409959,0.212876,28.181196,27.810522,27.771236,0.657626
2020 03,0.478241,0.41186,27.658537,27.618315,27.180296,0.817327
2020 02,0.34738,0.450258,27.015211,27.231169,26.667831,1.007264
2020 01,0.525154,0.430998,27.019762,27.010757,26.494608,1.164648
2019 12,0.42046,0.468848,26.997299,27.078094,26.576839,1.219633
2019 11,0.460931,0.472389,27.217222,27.14975,26.75629,1.177667
2019 10,0.535775,0.326179,27.234724,27.043015,26.69895,1.01164
2019 09,-0.018168,0.222223,26.677099,26.965405,26.695267,0.834961
2019 08,0.149063,0.18748,26.98439,27.112219,26.835327,0.818931
2019 07,0.431545,0.3974,27.675163,27.645336,27.243618,0.677102
2019 06,0.611594,0.601426,28.276459,28.184723,27.664865,0.627709
2019 05,0.76114,0.702656,28.602549,28.461826,27.841408,0.614643
2019 04,0.735234,0.833757,28.506472,28.431404,27.771236,0.657626
2019 03,1.004898,0.819598,28.185192,28.026052,27.180296,0.817327
2019 02,0.718661,0.802495,27.386492,27.583406,26.667831,1.007264
2019 01,0.683926,0.773147,27.178534,27.352905,26.494608,1.164648
2018 12,0.916853,0.827902,27.493692,27.437147,26.576839,1.219633
2018 11,0.882927,0.896656,27.639217,27.574017,26.75629,1.177667
2018 10,0.890189,0.703046,27.589138,27.419882,26.69895,1.01164
2018 09,0.336022,0.504453,27.031288,27.247635,26.695267,0.834961
2018 08,0.287149,0.284079,27.122477,27.208817,26.835327,0.818931
2018 07,0.229067,0.227465,27.472687,27.475401,27.243618,0.677102
2018 06,0.166177,0.091565,27.831041,27.674862,27.664865,0.627709
2018 05,-0.12055,-0.162356,27.720858,27.596813,27.841408,0.614643
