시점,계,계,경기도,경기도,강원도,강원도,충청남도,충청남도,전라북도,전라북도,전라남도,전라남도,경상북도,경상북도,경상남도,경상남도,제주도,제주도
시점,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어
1990.01,106848,7927,1270,-,8249,-,1768,3,5334,29,18309,61,6054,0,23630,44,2487,26
1990.02,89006,10042,1035,-,8480,1,1580,-,3986,6,17878,226,4473,2,14764,153,1773,9
1990.03,121790,4606,1301,-,7363,-,2806,-,6988,9,24452,13,5066,1,24198,6,1804,20
1990.04,126214,1994,1481,-,4890,1,4444,0,6016,5,25717,88,7482,0,21969,23,3611,30
1990.05,123928,2398,2940,-,6673,0,4641,2,7656,10,24120,107,6703,1,23065,95,3199,18
1990.06,122185,2723,14231,-,5434,15,4028,-,8365,6,23272,32,5987,2,20850,61,3036,3
1990.07,98908,5080,1136,-,4473,13,3912,-,6584,4,22206,30,5193,159,30072,51,2532,24
1990.08,108663,7192,1004,-,5574,91,3715,0,6166,3,21022,34,6054,217,37220,49,4593,30
1990.09,113158,5283,2689,-,5403,8,3622,1,8629,14,19352,28,9454,306,30869,75,6375,6
1990.1,137207,14520,3629,0,8528,46,3702,1,7789,12,25845,593,10410,323,30300,336,2115,7
1990.11,146277,9547,3757,-,6691,62,3193,1,8333,9,27477,587,8994,88,31711,200,2337,39
1990.12,177626,24985,2100,-,8668,3,2183,3,8395,24,47016,979,9816,49,33962,392,2198,182
1991.01,131037,26230,1275,-,7820,-,2001,3,6311,10,23523,139,3861,0,27981,24,1873,238
1991.02,69137,2539,1172,-,7029,-,1355,2,3568,14,13431,41,3290,0,14853,40,3689,0
1991.03,88989,12019,809,-,5919,1,2610,0,5781,16,16168,119,4648,1,12240,19,5765,52
1991.04,97076,6224,1249,-,4158,-,4921,1,5471,14,15688,216,7773,-,19383,152,4022,31
1991.05,99432,7429,2777,-,4443,0,5421,-,5594,22,14548,263,6189,0,18182,175,2685,79
1991.06,93657,1197,15188,-,4652,2,6339,-,7317,10,17072,5,7929,102,11228,6,5351,107
1991.07,72714,3278,1832,-,4512,0,4915,-,5285,-,13090,30,5180,11,18800,67,2453,25
1991.08,77480,5588,865,-,5748,57,4518,2,4548,0,12844,21,5528,157,21095,93,2112,38
1991.09,102468,8055,2471,-,7932,108,6901,0,6892,0,16177,115,10098,702,20879,132,6139,3
1991.1,122046,3836,3494,-,6663,207,6687,0,7308,1,17505,108,14281,688,33529,104,3750,22
1991.11,136028,3559,3499,-,12114,538,5497,1,7106,3,19114,231,13723,420,32162,235,2990,120
