시점,연근해어업,갈치,고등어,망치고등어,꽁치,노가리,멸치,명태,방어류,병어류,삼치류,전갱이류,정어리,쥐치류,청어,살오징어(오징어)
1970,724365,69082,38256,-,25036,-,54047,13418,1718,4727,5276,883,101,-,746,72142
1971,764179,82868,60599,-,30592,-,66904,11241,761,4492,6584,8904,138,-,6718,38262
1972,956276,110309,78969,-,38544,-,104174,40492,1301,8318,8694,2753,315,-,6311,52749
1973,1061962,124150,74150,-,34148,-,95572,42628,1542,11065,6847,2089,3689,-,3962,44152
1974,1263728,166391,80649,-,31723,-,173457,64512,1747,15796,10727,1511,194,-,114,31354
1975,1207753,120078,70123,-,25958,55322,175451,4540,3051,24191,5241,6563,3555,81394,2386,37238
1976,1255095,75559,107382,-,42121,82556,126202,5546,2429,18716,5355,7088,11154,114671,84,45227
1977,1306069,72032,113051,-,23175,104267,140842,18584,1863,12857,6767,5431,50299,128098,545,18119
1978,1360662,86065,99519,-,21744,93023,183211,11295,1829,11467,10030,3948,53829,199920,497,18440
1979,1412289,120723,120283,-,17178,68156,171539,11716,2090,13714,12166,6716,47177,230298,182,26132
1980,1370324,119980,62690,-,12395,68272,169657,28112,2089,14169,17511,565,38282,229230,438,48490
1981,1526670,147677,108082,-,10844,115554,184351,50283,1198,14091,13960,5520,63068,187625,254,46715
1982,1473248,121960,99447,-,7449,99243,162256,38413,3829,14431,10677,10837,81985,182356,447,53925
1983,1485569,152633,122883,-,4597,56267,131859,29642,3095,9018,16224,11539,139763,172732,528,37286
1984,1521615,145413,101714,-,1923,66772,155124,39906,2952,10833,21603,7354,177896,181008,497,39610
1985,1494514,127606,68479,-,4393,38049,143512,46496,4687,9294,10265,15702,107776,256528,773,42879
1986,1725820,107561,103511,-,6619,32483,201642,46890,5795,13509,20678,7018,160725,327516,1386,37214
1987,1525999,113426,101337,-,5927,13557,167729,20162,3529,11804,23974,13916,194352,153588,2763,60930
1988,1512481,104304,162828,-,2535,2892,126112,13348,6422,4765,26737,39745,145870,221728,6075,49525
1989,1510262,102399,163617,-,3367,8431,131855,15786,6218,8480,16325,22969,182540,159104,6697,65885
1990,1471810,103736,96297,-,5301,16527,130192,9798,4532,10304,16700,16586,132354,229522,6219,74172
1991,1226779,95466,89738,-,2954,10116,124513,10104,3929,10062,24285,15923,43964,69744,4586,107607
1992,1206542,87169,115619,-,439,5041,116914,9504,1785,8434,7925,26533,45707,34146,5878,136928
1993,1526139,58035,174684,-,745,7567,249209,9043,2740,8101,13927,38095,31285,11364,3983,219467
1994,1486357,101052,210442,-,3095,3143,193398,7605,3501,9849,8667,38433,36707,4382,3865,189572
1995,1425213,94596,200481,-,6544,2262,230679,6903,3586,10896,17429,12269,13539,1755,8622,200897
1996,1623822,74461,415003,-,9687,3825,237128,4445,3977,9484,6419,14542,18560,1772,5525,252618
1997,1367406,67170,160448,-,18626,910,230911,6373,6064,10770,11173,22766,9041,16318,13214,224959
1998,1308336,74851,172925,-,4609,0,249519,6232,9620,13210,22809,22132,7595,9364,13340,163016
1999,1336062,64434,177540,-,11400,-,238934,1392,8627,15235,19502,13552,17142,2999,20010,249991
2000,1189000,81050,145908,-,19883,-,201192,766,4814,7838,25641,19510,2207,2891,13473,226309
2001,1252099,79898,203717,-,5336,-,273927,207,6475,6819,25513,17537,129,1578,8491,225616
2002,1095812,60172,141751,-,7099,-,236315,215,5374,6191,25956,26037,8,933,1941,226656
2003,1096526,62861,122044,-,1424,-,250106,242,3671,7496,22608,20454,18,1429,3571,233254
2004,1076687,66291,184274,-,2960,-,196646,64,5321,9286,26622,25513,215,1267,5113,212760
2005,1097041,60086,135596,-,4319,-,249001,25,2876,11448,33794,42608,46,1055,7592,189126
2006,1108815,63739,101427,-,697,-,265346,60,5073,13873,36484,23227,0,1071,12496,197084
2007,1152299,66029,143776,-,4740,-,221110,35,6524,9489,42199,19089,106,2998,28280,174479
2008,1284890,72313,187240,3216,4909,-,261532,0,12643,8120,40809,22752,108,2631,45472,186160
2009,1226966,85450,117960,57369,3550,-,203728,1,14080,5929,36793,22087,47,8280,37514,189160
2010,1132536,59242,94331,5203,2564,-,249636,1,19468,8871,35778,19305,61,3475,25005,159130
2011,1235489,33101,138729,11847,2691,-,292730,1,9935,6600,29294,42853,2477,1606,23448,171643
2012,1091034,32526,125143,3324,2431,-,221980,1,9021,4986,33377,31098,918,1419,28013,181408
2013,1044697,47099,102114,12656,3300,-,209102,1,13625,5387,29394,15072,3565,1295,45127,154555
2014,1058598,46930,127450,2471,320,-,221375,2,11158,3419,29537,24005,335,2407,23821,163896
2015,1058319,41049,131735,8889,573,-,211574,3,8827,3314,37872,43362,2911,2040,25903,155743
2016,907580,32331,133200,22244,869,-,140958,6,14642,4747,35886,21620,5208,1805,24207,121691
2017,926941,54481,103870,11390,757,-,210943,1,16483,5909,38306,21294,8187,1726,32519,87024
2018,1011536,49450,141530,74403,708,-,188684,9,13434,8268,32089,27050,7271,2195,24035,46274
2019,911852,43479,101121,20252,272,-,171677,0,15928,8678,37841,43053,2218,2650,25771,51817
2020,933880,65719,77603,5236,644,-,216748,-,13051,7637,32949,46207,1139,2010,21035,56989
2021,942875,63056,122170,28859,986,-,143414,-,15046,8194,30950,49692,90,1913,14025,60880
2022,888694,54024,110896,41678,283,-,132152,0,21270,7751,35655,37761,12030,1313,27810,36578
2023,955955,60595,120089,42885,256,-,147770,-,25372,8066,45692,38681,48027,1053,21318,23343
