,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
품종별,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
연근해어업,724365,764179,956276,1061962,1263728,1207753,1255095,1306069,1360662,1412289,1370324,1526670,1473248,1485569,1521615,1494514,1725820,1525999,1512481,1510262,1471810,1226779,1206542,1526139,1486357,1425213,1623822,1367406,1308336,1336062,1189000,1252099,1095812,1096526,1076687,1097041,1108815,1152299,1284890,1226966,1132536,1235489,1091034,1044697,1058598,1058319,907580,926941,1011536,911852,933880,942875,888694,955955
가오리류,7691,7172,9918,10538,10704,15119,11545,11532,11072,13831,12598,15339,13955,16318,13284,14839,13326,10660,9034,10073,7600,7108,5168,7720,4322,3990,3632,3412,2600,3948,2309,2880,2356,2566,2320,2446,3126,3996,2236,2593,2021,2277,1807,1849,1857,1308,981,857,1144,1134,1027,974,1177,1405
가자미류,21648,18633,19113,21035,21399,22354,25569,23393,19692,17812,18644,22242,22239,22549,19184,19432,20790,17982,15999,15856,12594,12706,14111,13466,13337,13674,18066,18079,20135,19569,15423,14503,13816,13107,12038,15319,19879,24340,20162,19687,20107,20017,19868,18171,18905,14925,12023,11212,12292,14672,16360,17683,14739,17897
기름가자미,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2828,3021,2870,3009,3499,5561,5010,5181,4807
갈치,69082,82868,110309,124150,166391,120078,75559,72032,86065,120723,119980,147677,121960,152633,145413,127606,107561,113426,104304,102399,103736,95466,87169,58035,101052,94596,74461,67170,74851,64434,81050,79898,60172,62861,66291,60086,63739,66029,72313,85450,59242,33101,32526,47099,46930,41049,32331,54481,49450,43479,65719,63056,54024,60595
강달이류,5904,3760,11939,14314,24730,35828,50697,30408,29033,34418,43803,38559,31783,39013,32977,32836,42022,45354,35054,46851,53212,71769,55783,71728,69995,70394,57274,67804,53998,50494,31345,24502,19793,18880,18727,15495,19375,13817,11046,12074,5003,13990,7760,7154,7222,6493,2179,2200,2647,1754,2506,2634,3546,2530
고등어,38256,60599,78969,74150,80649,70123,107382,113051,99519,120283,62690,108082,99447,122883,101714,68479,103511,101337,162828,163617,96297,89738,115619,174684,210442,200481,415003,160448,172925,177540,145908,203717,141751,122044,184274,135596,101427,143776,187240,117960,94331,138729,125143,102114,127450,131735,133200,103870,141530,101121,77603,122170,110896,120089
망치고등어,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3216,57369,5203,11847,3324,12656,2471,8889,22244,11390,74403,20252,5236,28859,41678,42885
꽁치,25036,30592,38544,34148,31723,25958,42121,23175,21744,17178,12395,10844,7449,4597,1923,4393,6619,5927,2535,3367,5301,2954,439,745,3095,6544,9687,18626,4609,11400,19883,5336,7099,1424,2960,4319,697,4740,4909,3550,2564,2691,2431,3300,320,573,869,757,708,272,644,986,283,256
학공치,239,958,1116,1539,5486,1140,787,827,1253,1240,1120,1159,854,1516,1807,2308,2971,1930,1901,3763,1815,816,1479,2005,1480,1531,990,1193,1160,913,956,613,670,411,1137,607,369,293,462,518,-,396,381,672,915,1172,598,997,610,650,759,545,382,1289
넙치류,3123,4336,6659,7339,6744,5086,4011,4035,3110,3503,3862,4706,4596,4312,3528,2883,2534,3150,2393,2945,2380,1885,2022,2454,2035,1914,2317,1592,2002,1679,1607,1707,1822,1801,1737,2112,2298,3074,4184,5439,6035,4675,4392,4295,4008,3705,3555,3989,4762,4107,3182,2923,3208,4197
노가리,-,-,-,-,-,55322,82556,104267,93023,68156,68272,115554,99243,56267,66772,38049,32483,13557,2892,8431,16527,10116,5041,7567,3143,2262,3825,910,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
농어류,438,263,321,542,512,4193,1338,2285,1433,1635,1502,1667,1695,1176,1168,1104,660,1043,954,1022,780,831,818,1523,1119,925,1178,1501,2957,2933,1201,1566,1479,1564,1382,1173,1173,1007,934,1114,1154,1437,1381,1408,1600,1511,1841,1410,2012,1941,1675,1856,2306,1775
눈볼대,1535,1355,1057,986,949,1700,1519,663,1637,2348,2184,1001,986,1216,821,981,1282,855,824,554,520,453,414,666,384,517,386,559,688,531,918,612,558,1525,3336,2858,2044,2886,3743,3454,3105,2491,2742,3449,2829,2878,3195,2964,3949,3859,3041,3067,2571,2561
능성어,359,283,54,64,35,34,38,16,21,27,40,23,31,61,25,57,58,87,71,61,50,47,53,101,44,38,41,24,77,20,29,28,9,26,50,32,11,35,45,55,39,39,39,26,28,30,44,90,54,50,60,69,61,89
참다랑어,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,293,148,242,464,1314,722,1031,743,619,701,606,506,916,690
기타다랑어류,278,60,38,150,36,681,818,247,168,103,289,233,454,1855,890,2712,628,469,1607,1711,758,1807,897,459,848,1816,2792,3115,3371,2861,3245,3295,2344,3739,1755,3324,2715,4134,3702,3307,4710,2054,1704,1699,2520,1156,1065,793,2823,4243,4363,1624,1014,1030
도루묵,16110,24809,9961,20736,12723,7267,9065,5363,2097,1367,4348,1631,2748,6834,5295,7100,9346,12169,4099,2470,3137,5026,4197,3781,1466,2065,2501,2194,1490,2449,1571,1286,3381,1928,2472,2401,2647,3769,2720,3939,4236,3834,5493,6306,4679,4762,7497,4965,4183,3066,5114,2760,1408,611
대구,2753,2571,757,717,1365,1653,435,1456,1841,1883,844,3646,4462,3784,902,2996,919,839,1200,3020,487,663,438,481,473,273,472,481,476,894,1766,2458,1968,1826,2641,4272,6810,7533,5395,6870,7289,8585,8682,9133,13402,7820,4975,6479,7511,9520,5507,5629,5734,6300
감성돔,346,499,487,808,1280,1242,619,1126,699,738,776,818,663,956,774,642,510,423,369,435,666,494,370,399,574,521,545,596,534,619,658,512,764,866,820,1117,1055,947,1140,1097,916,962,803,654,706,780,809,896,1053,952,983,1062,1064,1175
옥돔,43,111,347,206,298,440,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1650,2228,2027,2315,2230,1810,1651,1664,1049,1341,1303,1405,1186,1537,1570,1073,1215,1549,923,1307,1766,1932,1901,1826,1600,1222,1291,940,1144,1369,1556
자리돔,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,421,655,341,350,333,80,12,59,5,6,5,15,78,135,172,91,301,1200,631,180,80,194,220,208,141,419,545,336,389,397,239
참돔,792,967,1796,1721,1785,1789,1368,1607,1556,1858,2101,2518,1956,1658,1248,1123,1075,1305,1104,1376,936,787,715,979,456,552,762,1419,1657,924,986,913,1084,756,518,513,502,686,1304,1864,2412,2490,2598,2289,2169,2062,2069,1902,2809,2210,2196,2394,2342,2926
돌돔,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,190,127,109,122,124,102,92,101,94,156,238,312,333,181,191,203
기타돔류,693,433,599,738,1391,1370,1474,1629,885,1240,1377,1584,1806,2884,3078,3444,3656,4153,3872,5116,5412,7303,7466,3792,2534,1744,1616,2041,1840,1117,1339,1419,1466,1322,1408,1404,1489,1501,1389,1634,1754,1696,1732,1225,1421,1898,1958,1624,1549,1852,1945,2130,1919,2006
망둑어류,-,-,-,-,-,-,1798,2809,3479,2746,2930,4050,4649,5676,4027,6381,6053,5946,7233,5405,2247,1615,2149,2788,3570,1941,1598,1722,1299,897,788,703,388,789,1105,7486,2081,1661,909,1058,688,828,1097,948,503,409,521,395,614,414,333,267,301,223
매퉁이류,252,245,345,498,540,768,415,612,223,1034,1135,665,376,370,216,206,181,461,409,107,55,95,141,131,296,209,162,207,215,35,795,758,33,644,29,77,17,349,102,279,-,-,-,-,-,-,-,-,-,-,-,-,-,-
멸치,54047,66904,104174,95572,173457,175451,126202,140842,183211,171539,169657,184351,162256,131859,155124,143512,201642,167729,126112,131855,130192,124513,116914,249209,193398,230679,237128,230911,249519,238934,201192,273927,236315,250106,196646,249001,265346,221110,261532,203728,249636,292730,221980,209102,221375,211574,140958,210943,188684,171677,216748,143414,132152,147770
반지,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,457,910,884,581,1842,5218,3211,1823,2434,2845,3223,1007,3241,1184,656,556,1174,1133,735
명태,13418,11241,40492,42628,64512,4540,5546,18584,11295,11716,28112,50283,38413,29642,39906,46496,46890,20162,13348,15786,9798,10104,9504,9043,7605,6903,4445,6373,6232,1392,766,207,215,242,64,25,60,35,0,1,1,1,1,1,2,3,6,1,9,0,-,-,0,-
민어,1597,967,997,1092,2235,1999,1951,1353,1751,2754,2311,3576,2462,1678,2481,2202,2665,2078,2185,2114,2389,2671,2268,1908,2363,2164,1940,1177,1285,1566,1999,2156,1148,1299,974,1302,2002,3030,4588,4770,3913,3958,3673,7918,6389,4572,4068,3527,2805,3411,4121,4824,6325,5934
